,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,BRUKSAREAL_TOTALT,KOMMUNE_NR_ADR,KOMMUNE_NAVN_ADR,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
5380000,1860,VESTVÅGØY,300716109,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20181116,10101,97.4,,,6267442575.0,,,,,0.0,8370.0,LEKNES
5380001,4213,TVEDESTRAND,300517687,1,111.0,Enebolig,FA,Ferdigattest,10101,20181120,10101,53.2,,,516962852.0,Lindveien,1438.0,21.0,,,4900.0,TVEDESTRAND
5380002,301,OSLO,300715843,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,20181015,20190221,10101,111.0,,,,,,,,,,
5380003,1865,VÅGAN,300715978,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20180621,20181119,0.0,,,,,,,,,,
5380004,301,OSLO,300715842,0,212.0,Verkstedbygning,IG,Igangsettingstillatelse,20181116,20181212,10101,2493.0,,,,,,,,,,
5380005,3040,NESBYEN,300716481,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,20181116,20181116,10101,137.0,,,6267390651.0,Fjellsikten,1287.0,8.0,,,3540.0,NESBYEN
5380006,4626,ØYGARDEN,300716476,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,20181120,20181120,10101,49.0,,,,,,,,,,
5380007,5037,LEVANGER,300715871,0,182.0,Garasjeuth.anneks til fritidb,TB,Tatt i bruk,10101,10101,10101,0.0,,,,,,,,,,
5380008,3021,ÅS,12875398,2,111.0,Enebolig,IG,Igangsettingstillatelse,10101,20181012,10101,0.0,,,,,,,,,,
5380009,1838,GILDESKÅL,300716133,0,182.0,Garasjeuth.anneks til fritidb,FA,Ferdigattest,10101,20180308,10101,11.0,,,,,,,,,,
5380010,5007,NAMSOS,300716509,0,121.0,"Tomannsbolig, vertikaldelt",BA,Bygging avlyst,20180626,10101,10101,201.0,,,550368102.0,Oldtidsvegen,3530.0,30.0,,,7013.0,Namsos
5380011,3805,LARVIK,384453,1,111.0,Enebolig,FA,Ferdigattest,10101,20181113,10101,0.0,,,202349271.0,Vinjes vei,22560.0,26.0,B,,3269.0,LARVIK
5380012,3001,HALDEN,300716099,0,111.0,Enebolig,FA,Ferdigattest,10101,20181210,10101,277.0,,,6254473362.0,Brattåstoppen,1655.0,40.0,,,1793.0,TISTEDAL
5380013,1860,VESTVÅGØY,300716100,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20181116,10101,96.2,,,6267442568.0,,,,,0.0,8370.0,LEKNES
5380014,4204,KRISTIANSAND,168213220,1,131.0,Rekkehus,TB,Tatt i bruk,20181121,20181121,20200101,12.0,,,219107266.0,Arenfeldts vei,10150.0,16.0,B,,4630.0,KRISTIANSAND S
5380015,5007,NAMSOS,300716511,0,121.0,"Tomannsbolig, vertikaldelt",BA,Bygging avlyst,20180626,10101,10101,178.0,,,550368103.0,Oldtidsvegen,3530.0,32.0,,,7013.0,Namsos
5380016,1865,VÅGAN,300715968,0,121.0,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,10101,20180620,10101,131.0,,,6267315740.0,Bergsrudsvingen,1155.0,13.0,,,8310.0,KABELVÅG
5380017,3001,HALDEN,300716115,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20181119,10101,41.0,,,,,,,,,,
5380018,1838,GILDESKÅL,300716141,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20180308,10101,88.7,,,601765217.0,Sørværet,38170.0,38.0,,,8094.0,FLEINVÆR
5380019,1865,VÅGAN,300715972,0,121.0,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,10101,20180620,10101,131.0,,,6267315741.0,Bergsrudsvingen,1155.0,11.0,,,8310.0,KABELVÅG
5380020,301,OSLO,80150970,3,136.0,Andre småhus m/3 boliger el fl,FA,Ferdigattest,10101,20181010,10101,0.0,,,578155034.0,Østhellinga,18664.0,15.0,,,870.0,OSLO
5380021,5007,NAMSOS,300716502,0,121.0,"Tomannsbolig, vertikaldelt",BA,Bygging avlyst,20180626,10101,10101,178.5,,,550365699.0,Oldtidsvegen,3530.0,24.0,,,7013.0,Namsos
5380022,1106,HAUGESUND,171140943,1,122.0,"Tomannsbolig, horisontaldelt",FA,Ferdigattest,10101,20180416,10101,241.6,,,66393288.0,Kopervikgata,1300.0,17.0,,,5529.0,HAUGESUND
5380023,3014,INDRE ØSTFOLD,300715696,0,131.0,Rekkehus,FA,Ferdigattest,10101,20181115,10101,160.2,,,6264171270.0,Nygårdsåsen,28852.0,17.0,,,1814.0,ASKIM
5380024,3020,NORDRE FOLLO,140077259,1,113.0,Våningshus,IG,Igangsettingstillatelse,10101,20181115,10101,26.3,,,124213259.0,Kråkstadveien,5250.0,92.0,A,,1408.0,KRÅKSTAD
5380025,3034,NES,300716429,0,121.0,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,10101,20181121,10101,127.0,,,6267527209.0,Nabben,1336.0,10.0,B,,2166.0,OPPAKER
5380026,5439,GAMVIK,300716452,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,20100606,20100606,10101,119.2,,,,,,,,,,
5380027,5007,NAMSOS,300716495,0,121.0,"Tomannsbolig, vertikaldelt",BA,Bygging avlyst,20180626,10101,10101,155.0,,,550368109.0,Oldtidsvegen,3530.0,20.0,,,7013.0,Namsos
5380028,3029,LØRENSKOG,300715910,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20181113,10101,47.5,,,,,,,,,,
5380029,3004,FREDRIKSTAD,300715715,0,143.0,Stort frittliggende boligbygg på 5 etg. el. mer,FA,Ferdigattest,20181107,20190611,10101,1269.5,,,17901259.0,Bruket,71230.0,11.0,,,1621.0,GRESSVIK
5380030,5439,GAMVIK,300716536,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20160511,10101,69.4,,,,,,,,,,
5380031,1101,EIGERSUND,300716150,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,20181113,20181113,20191106,12.0,,,,,,,,,,
5380032,1101,EIGERSUND,169831033,1,111.0,Enebolig,FA,Ferdigattest,20181115,20181115,10101,30.0,,,97112198.0,Korsørveien,1333.0,2.0,,,4501.0,Egersund
5380033,3047,MODUM,300716483,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,20181109,20181109,10101,64.0,,,,,,,,,,
5380034,1507,ÅLESUND,300716459,0,111.0,Enebolig,FA,Ferdigattest,20180427,20180626,10101,408.0,,,106414171.0,Steinshamnvegen,46038.0,157.0,,,6487.0,HARØY
