,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,BRUKSAREAL_TOTALT,KOMMUNE_NR_ADR,KOMMUNE_NAVN_ADR,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
2750000,5028,MELHUS,184550245,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,27.0,,,,,,,,,,
2750001,5028,MELHUS,184550253,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,72.0,,,,,,,,,,
2750002,5028,MELHUS,184550229,0,241.0,Hus for dyr/landbr.lager/silo,BU,Bygningsnummer utgått,10101,10101,10101,0.0,,,,,,,,,,
2750003,5028,MELHUS,184550237,0,161.0,Fritidsbygg(hyttersommerh. ol,TB,Tatt i bruk,10101,10101,10101,62.0,,,,,,,,,,
2750004,5028,MELHUS,184550202,0,124.0,"Våningshus, tomannsb./horisont.",TB,Tatt i bruk,10101,10101,10101,181.0,,,417339789.0,Øyan,1056.0,52.0,,,7224.0,MELHUS
2750005,5028,MELHUS,184550210,0,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,10101,16.0,,,,,,,,,,
2750006,5028,MELHUS,184550180,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,165.0,,,165327002.0,Strandvegen,1033.0,51.0,,,7224.0,MELHUS
2750007,5028,MELHUS,184550199,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,10101,10101,10101,620.0,,,,,,,,,,
2750008,5028,MELHUS,184550164,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,10101,10101,10101,0.0,,,,,,,,,,
2750009,5028,MELHUS,184550172,0,113.0,Våningshus,BU,Bygningsnummer utgått,10101,10101,10101,0.0,,,165321886.0,Øyåsvegen,1100.0,54.0,,,7224.0,MELHUS
2750010,5028,MELHUS,184550148,0,113.0,Våningshus,TB,Tatt i bruk,10101,10101,10101,403.0,,,165321888.0,Øyåsvegen,1100.0,58.0,,,7224.0,MELHUS
2750011,5028,MELHUS,184550156,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,21.0,,,,,,,,,,
2750012,5028,MELHUS,184550113,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,42.0,,,,,,,,,,
2750013,5028,MELHUS,184550121,0,249.0,Annen landbruksbygning,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750014,5028,MELHUS,184550091,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,210.0,,,165329029.0,Statsråd Nissens veg,1016.0,26.0,,,7224.0,MELHUS
2750015,5028,MELHUS,184550105,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,215.0,,,165326444.0,Statsråd Nissens veg,1016.0,24.0,,,7224.0,MELHUS
2750016,5028,MELHUS,184550407,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,202.0,,,165326484.0,Niels Dahls veg,1018.0,37.0,,,7224.0,MELHUS
2750017,5028,MELHUS,184550415,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,152.0,,,165326442.0,Statsråd Nissens veg,1016.0,18.0,,,7224.0,MELHUS
2750018,5028,MELHUS,184550385,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,208.0,,,165326466.0,Niels Dahls veg,1018.0,10.0,,,7224.0,MELHUS
2750019,5028,MELHUS,184550393,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,25.0,,,,,,,,,,
2750020,5028,MELHUS,184550377,0,112.0,Enebolig m/hybel/sokkelleil.,TB,Tatt i bruk,10101,10101,10101,197.0,,,165326468.0,Niels Dahls veg,1018.0,12.0,,,7224.0,MELHUS
2750021,5028,MELHUS,184550369,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,229.0,,,417339796.0,Øyan,1056.0,104.0,,,7224.0,MELHUS
2750022,5028,MELHUS,184550369,1,111.0,Enebolig,TB,Tatt i bruk,20040803,20040803,20060331,19.0,,,,,,,,,,
2750023,5028,MELHUS,184550342,0,181.0,Garasjeuthus anneks til bolig,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750024,5028,MELHUS,184550350,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750025,5028,MELHUS,184550326,0,161.0,Fritidsbygg(hyttersommerh. ol,TB,Tatt i bruk,10101,10101,10101,21.0,,,417339793.0,Øyan,1056.0,94.0,,,7224.0,MELHUS
2750026,5028,MELHUS,184550334,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,202.0,,,417339794.0,Øyan,1056.0,96.0,,,7224.0,MELHUS
2750027,5028,MELHUS,184550296,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,28.0,,,,,,,,,,
2750028,5028,MELHUS,184550318,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750029,5028,MELHUS,184550261,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,153.0,,,417339790.0,Øyan,1056.0,86.0,,,7224.0,MELHUS
2750030,5028,MELHUS,184550288,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,45.0,,,,,,,,,,
2750031,5028,MELHUS,184549948,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,152.0,,,165321926.0,Øyåsvegen,1100.0,384.0,,,7224.0,MELHUS
2750032,5028,MELHUS,184549956,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,30.0,,,,,,,,,,
2750033,5028,MELHUS,184549913,0,113.0,Våningshus,TB,Tatt i bruk,10101,10101,10101,203.0,,,335627470.0,Varmbuvegen,1038.0,261.0,,,7224.0,MELHUS
2750034,5028,MELHUS,184549921,0,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,10101,0.0,,,,,,,,,,
2750035,5028,MELHUS,184549891,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,339.0,,,335625658.0,Varmbuvegen,1038.0,255.0,,,7224.0,MELHUS
2750036,5028,MELHUS,184549905,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,40.0,,,,,,,,,,
2750037,5028,MELHUS,184549875,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,167.0,,,335625655.0,Varmbuvegen,1038.0,231.0,,,7224.0,MELHUS
2750038,5028,MELHUS,184549883,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750039,5028,MELHUS,184549859,0,181.0,Garasjeuthus anneks til bolig,BR,Bygning revet/brent,10101,10101,10101,0.0,,,,,,,,,,
2750040,5028,MELHUS,184549867,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,106.0,,,,,,,,,,
2750041,5028,MELHUS,184549824,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,10101,10101,10101,219.0,,,,,,,,,,
2750042,5028,MELHUS,184549832,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,190.0,,,335625653.0,Varmbuvegen,1038.0,230.0,,,7224.0,MELHUS
2750043,5028,MELHUS,184549808,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19650101,160.0,,,335625397.0,Varmbuvegen,1038.0,194.0,,,7224.0,MELHUS
2750044,5028,MELHUS,184549816,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,28.0,,,,,,,,,,
2750045,5028,MELHUS,184549786,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,186.0,,,165326527.0,Hammonds veg,1023.0,9.0,,,7224.0,MELHUS
2750046,5028,MELHUS,184549794,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,192.0,,,165326529.0,Hammonds veg,1023.0,11.0,,,7224.0,MELHUS
2750047,5028,MELHUS,184550075,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,16.0,,,,,,,,,,
2750048,5028,MELHUS,184550083,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,168.0,,,165326488.0,Niels Dahls veg,1018.0,45.0,,,7224.0,MELHUS
2750049,5028,MELHUS,184550067,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,207.0,,,165326487.0,Niels Dahls veg,1018.0,43.0,,,7224.0,MELHUS
2750050,5028,MELHUS,184550040,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,307.0,,,165326483.0,Niels Dahls veg,1018.0,35.0,,,7224.0,MELHUS
2750051,5028,MELHUS,184550040,1,111.0,Enebolig,TB,Tatt i bruk,19990611,19990618,20030213,52.0,,,,,,,,,,
2750052,5028,MELHUS,184550032,1,111.0,Enebolig,TB,Tatt i bruk,20010821,20010821,20050215,46.0,,,,,,,,,,
2750053,5028,MELHUS,184550024,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,11.0,,,,,,,,,,
2750054,5028,MELHUS,184550032,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,273.0,,,165326482.0,Niels Dahls veg,1018.0,33.0,,,7224.0,MELHUS
2750055,5028,MELHUS,184550008,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,25.0,,,,,,,,,,
2750056,5028,MELHUS,184550016,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,202.0,,,165326470.0,Niels Dahls veg,1018.0,14.0,,,7224.0,MELHUS
2750057,5028,MELHUS,184549980,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,155.0,,,165326474.0,Niels Dahls veg,1018.0,18.0,,,7224.0,MELHUS
2750058,5028,MELHUS,184549999,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,172.0,,,165326472.0,Niels Dahls veg,1018.0,16.0,,,7224.0,MELHUS
2750059,5028,MELHUS,184549964,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,155.0,,,165332605.0,Bergvegen,1098.0,22.0,,,7224.0,MELHUS
2750060,5028,MELHUS,184549972,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,35.0,,,,,,,,,,
2750061,5028,MELHUS,184553759,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19730201,199.0,,,165326429.0,Darres veg,1015.0,14.0,,,7224.0,MELHUS
2750062,5028,MELHUS,184553767,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,160.0,,,165326446.0,Stabells veg,1017.0,2.0,,,7224.0,MELHUS
2750063,5028,MELHUS,184553732,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19700101,184.0,,,165326431.0,Darres veg,1015.0,18.0,,,7224.0,MELHUS
2750064,5028,MELHUS,184553740,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,19710101,180.0,,,165326430.0,Darres veg,1015.0,16.0,,,7224.0,MELHUS
