,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
3410000,402755605,50,TRØNDELAG,5049,FLATANGER,13,327,0,0,,1,1309.9,0,Ikke oppgitt,,,True,,,,,0,0,20120515.0,2012.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,593725.33,7154804.05
3410001,402688022,46,VESTLAND,4613,BØMLO,95,166,0,0,,1,715.6,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,20120111.0,2012.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,281025.83,6641110.3
3410002,402864149,42,AGDER,4204,KRISTIANSAND,37,777,0,0,,1,709.1,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20120117.0,2012.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,443542.5,6450243.34
3410003,402950162,42,AGDER,4205,LINDESNES,82,296,0,0,,1,799.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20120113.0,2012.0,1,BEST. GRUNNEIENDOM,,,1,0,22.0,EUREF89 UTM Sone 32,402859.8634435015,6432094.429265496
3410004,402726938,30,VIKEN,3033,ULLENSAKER,117,568,0,0,,1,311.4,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20120126.0,2012.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,622739.44,6669270.77
3410005,402954266,15,MØRE OG ROMSDAL,1539,RAUMA,36,26,0,0,,1,173.7,0,Ikke oppgitt,,,True,,,,,0,0,20140512.0,2014.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,432814.24,6939562.22
3410006,403114020,50,TRØNDELAG,5001,TRONDHEIM,100,51,0,1,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,1,2,20120116.0,2012.0,0,UKJENT,,,1,0,,,,
3410007,403114019,50,TRØNDELAG,5001,TRONDHEIM,100,51,0,2,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,1,2,20120116.0,2012.0,0,UKJENT,,,1,0,,,,
3410008,402665511,34,INNLANDET,3415,SØR-ODAL,36,18,0,0,,1,30986.2,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20120117.0,2012.0,1,BEST. GRUNNEIENDOM,,,10,3,22.0,EUREF89 UTM Sone 32,650721.1046196411,6681956.343095368
3410009,402464727,42,AGDER,4205,LINDESNES,29,52,0,0,,1,1783.4,0,Ikke oppgitt,,,True,,,,,0,0,20120111.0,2012.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,412222.13,6431968.78
