,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
2780000,248241354,42,AGDER,4207,FLEKKEFJORD,15,9,0,0,SOLBAKKEN,1,3522.4,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,19440511.0,1944.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,355250.86,6458159.92
2780001,248243402,42,AGDER,4207,FLEKKEFJORD,25,82,0,0,VEISDAL YTRE,1,1474.6,1,Målebrev,,,True,,,,,0,0,19701008.0,1970.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,357764.41,6455390.47
2780002,248241353,42,AGDER,4207,FLEKKEFJORD,15,8,0,0,KÅDESTØ,1,357.1,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19350507.0,1935.0,1,BEST. GRUNNEIENDOM,,,2,2,22.0,EUREF89 UTM Sone 32,355047.65,6457980.71
2780003,248243401,42,AGDER,4207,FLEKKEFJORD,25,81,0,0,VEISDAL YTRE,1,1093.0,1,Målebrev,X,Bolig,True,,,,,0,0,19700919.0,1970.0,1,BEST. GRUNNEIENDOM,,,3,2,22.0,EUREF89 UTM Sone 32,357708.08,6455168.39
2780004,248241352,42,AGDER,4207,FLEKKEFJORD,15,7,0,0,FAGERHEIM,1,2533.2,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19161209.0,1916.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,355264.63,6458082.03
2780005,248243400,42,AGDER,4207,FLEKKEFJORD,25,80,0,0,VEISDAL YTRE,1,1118.2,1,Målebrev,,,True,,,,,0,0,19700810.0,1970.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,357717.87,6455429.48
2780006,248241359,42,AGDER,4207,FLEKKEFJORD,15,14,0,0,KÅDE,1,1319.7,1,Målebrev,X,Bolig,True,,,,,0,0,19760626.0,1976.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,355442.17,6458222.93
2780007,248243407,42,AGDER,4207,FLEKKEFJORD,25,87,0,0,VEISDAL YTRE,1,917.2,1,Målebrev,,,True,,,,,0,0,19730808.0,1973.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,357730.17,6455367.31
2780008,248241358,42,AGDER,4207,FLEKKEFJORD,15,13,0,0,KÅDE,1,1200.1,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19751027.0,1975.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,354933.72,6457985.78
2780009,248243406,42,AGDER,4207,FLEKKEFJORD,25,86,0,0,VEISDAL YTRE,1,786.5,1,Målebrev,X,Bolig,True,,,,,0,0,19730808.0,1973.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,357780.17,6455334.04
