,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
2430000,216239105,30,VIKEN,3050,FLESBERG,144,15,0,0,HYTTE NR. 11,1,1433.2,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19820204.0,1982.0,1,BEST. GRUNNEIENDOM,,,3,1,22.0,EUREF89 UTM Sone 32,525490.57,6626417.18
2430001,216239104,30,VIKEN,3050,FLESBERG,144,14,0,0,HYTTE NR. 12,1,1207.7,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19811228.0,1981.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,525555.32,6626433.77
2430002,216239111,30,VIKEN,3050,FLESBERG,145,1,0,0,TVEITEN,3,3303471.1,0,Ikke oppgitt,A,"Jordbruk, skogbruk og fiske",True,,,,,0,0,,,1,BEST. GRUNNEIENDOM,,,17,2,22.0,EUREF89 UTM Sone 32,529216.49,6629332.3
2430003,216239110,30,VIKEN,3050,FLESBERG,144,20,0,0,HYTTETOMT NR 13,1,1012.1,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19921116.0,1992.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,525602.18,6626521.54
2430004,216239109,30,VIKEN,3050,FLESBERG,144,19,0,0,HYTTETOMT NR 4,1,1059.2,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19920924.0,1992.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,525218.98,6626035.47
2430005,216239108,30,VIKEN,3050,FLESBERG,144,18,0,0,HYTTETOMT NR.2,1,1008.6,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19880630.0,1988.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,525165.0,6625990.69
2430006,216239115,30,VIKEN,3050,FLESBERG,145,1,4,0,,1,0.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,19730530.0,1973.0,3,BESTÅENDE PUNKTFESTE,,,3,1,22.0,EUREF89 UTM Sone 32,524746.328749,6624664.730458
2430007,216239114,30,VIKEN,3050,FLESBERG,145,1,3,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,19720131.0,1972.0,3,BESTÅENDE PUNKTFESTE,,,1,1,22.0,EUREF89 UTM Sone 32,525265.51,6625350.16
2430008,216239113,30,VIKEN,3050,FLESBERG,145,1,2,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,19720119.0,1972.0,3,BESTÅENDE PUNKTFESTE,,,1,1,22.0,EUREF89 UTM Sone 32,525186.02,6625095.61
2430009,216239112,30,VIKEN,3050,FLESBERG,145,1,1,0,,1,300.8,9,Annen arealkilde,,,True,,,,,0,0,19630206.0,1963.0,2,BESTÅENDE FESTEGRUNN,,,2,1,22.0,EUREF89 UTM Sone 32,524631.963249,6624524.339958
2430010,216239119,30,VIKEN,3050,FLESBERG,145,1,8,0,HYTTE NR 23,1,0.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,19841015.0,1984.0,3,BESTÅENDE PUNKTFESTE,,,2,1,22.0,EUREF89 UTM Sone 32,524465.4114270108,6624550.502478641
