,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
3470000,442298968,54,TROMS OG FINNMARK,5402,HARSTAD,94,11,0,0,BAKKLAND,1,0.0,1,Målebrev,,,True,,,,,0,0,19780823.0,1978.0,1,BEST. GRUNNEIENDOM,,,0,0,,,,
3470001,442286681,54,TROMS OG FINNMARK,5402,HARSTAD,90,156,0,0,VOLLBAKKEN,1,49.9,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,19740608.0,1974.0,1,BEST. GRUNNEIENDOM,,,1,1,23.0,EUREF89 UTM Sone 33,554362.74,7636603.19
3470002,442280539,54,TROMS OG FINNMARK,5402,HARSTAD,52,67,0,0,GRANHEIM,1,2359.3,5,Areal hentet fra eiendomsbase,X,Bolig,True,,,,,0,0,19511030.0,1951.0,1,BEST. GRUNNEIENDOM,,,1,1,23.0,EUREF89 UTM Sone 33,562742.39,7629894.97
3470003,442274388,54,TROMS OG FINNMARK,5402,HARSTAD,107,9,0,0,BESSEBOSTAD,6,237182.3,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,18530917.0,1853.0,1,BEST. GRUNNEIENDOM,,,9,1,23.0,EUREF89 UTM Sone 33,564066.37,7643402.61
3470004,442292817,54,TROMS OG FINNMARK,5402,HARSTAD,97,77,0,0,MIDTGÅRD,1,948.4,5,Areal hentet fra eiendomsbase,Y,Annet som ikke er næring,True,,,,,0,0,19591002.0,1959.0,1,BEST. GRUNNEIENDOM,,,2,1,23.0,EUREF89 UTM Sone 33,550606.2,7650926.35
3470005,442268242,54,TROMS OG FINNMARK,5402,HARSTAD,106,56,0,0,BJØRNEBO,1,682.7,5,Areal hentet fra eiendomsbase,X,Bolig,True,,,,,0,0,19641112.0,1964.0,1,BEST. GRUNNEIENDOM,,,1,0,23.0,EUREF89 UTM Sone 33,562866.28,7641616.45
3470006,442286668,54,TROMS OG FINNMARK,5402,HARSTAD,90,162,0,0,SNIPPEN,1,49.9,0,Ikke oppgitt,,,True,,,,,0,0,19760119.0,1976.0,1,BEST. GRUNNEIENDOM,,,0,0,23.0,EUREF89 UTM Sone 33,554201.42,7636676.45
3470007,442264142,54,TROMS OG FINNMARK,5402,HARSTAD,60,319,0,0,JØRNS GATE 16A,1,853.3,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19320901.0,1932.0,1,BEST. GRUNNEIENDOM,,,2,1,23.0,EUREF89 UTM Sone 33,561821.0,7632801.98
3470008,442284622,54,TROMS OG FINNMARK,5402,HARSTAD,52,92,0,0,SOLTUN,1,1351.8,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,19590620.0,1959.0,1,BEST. GRUNNEIENDOM,,,3,1,23.0,EUREF89 UTM Sone 33,563143.11,7629971.8
3470009,442303049,54,TROMS OG FINNMARK,5402,HARSTAD,52,5,0,0,FOSSUM,5,127435.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,18961106.0,1896.0,1,BEST. GRUNNEIENDOM,,,1,0,23.0,EUREF89 UTM Sone 33,560314.8992507024,7628708.812990183
