,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
3340000,345711774,38,VESTFOLD OG TELEMARK,3821,KVITESEID,15,9,2,0,,1,593.8,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20101126.0,2010.0,2,BESTÅENDE FESTEGRUNN,,,3,1,22.0,EUREF89 UTM Sone 32,473390.52,6573069.95
3340001,345937051,30,VIKEN,3001,HALDEN,170,212,0,0,,1,729.2,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,639534.62,6555907.62
3340002,345080982,42,AGDER,4223,VENNESLA,23,785,0,0,,1,398.0,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100816.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,438543.15,6458591.42
3340003,345953433,18,NORDLAND,1851,LØDINGEN,28,382,0,0,Skolevegen 26,1,1263.2,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,23.0,EUREF89 UTM Sone 33,540167.66,7589260.75
3340004,345068699,42,AGDER,4205,LINDESNES,455,306,0,0,,1,675.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100816.0,2010.0,1,BEST. GRUNNEIENDOM,,,2,2,22.0,EUREF89 UTM Sone 32,389520.19,6435189.52
3340005,345848983,54,TROMS OG FINNMARK,5401,TROMSØ,72,968,0,0,,1,605.2,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,3,1,23.0,EUREF89 UTM Sone 33,647607.93,7735319.92
3340006,345848979,54,TROMS OG FINNMARK,5401,TROMSØ,72,967,0,0,,1,640.3,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,2,1,23.0,EUREF89 UTM Sone 33,647627.76,7735322.98
3340007,345453720,16,SØR-TRØNDELAG,1632,ROAN,54,81,0,0,,1,0.0,5,Areal hentet fra eiendomsbase,,,True,,,,,0,0,20100819.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,,,,
3340008,345900170,38,VESTFOLD OG TELEMARK,3825,VINJE,50,38,0,0,,1,1234.2,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,443640.93,6614507.36
3340009,345973897,54,TROMS OG FINNMARK,5426,KÅFJORD,29,118,0,0,,1,934.5,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,23.0,EUREF89 UTM Sone 33,716268.49,7724488.21
3340010,345973895,54,TROMS OG FINNMARK,5426,KÅFJORD,14,16,0,0,,1,1527.5,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100910.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,23.0,EUREF89 UTM Sone 33,724056.98,7723302.32
3340011,345336969,38,VESTFOLD OG TELEMARK,3811,FÆRDER,32,36,0,0,,1,42410.8,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100818.0,2010.0,1,BEST. GRUNNEIENDOM,,,4,1,22.0,EUREF89 UTM Sone 32,585200.0,6563873.0
3340012,346002561,42,AGDER,4205,LINDESNES,496,11,0,0,,1,178.2,0,Ikke oppgitt,,,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,406302.24,6453117.75
3340013,345808060,15,MØRE OG ROMSDAL,1504,ÅLESUND,700,3,0,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,,,,
3340014,345074868,34,INNLANDET,3422,ÅMOT,73,152,0,0,,1,2991.8,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100816.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,646875.28,6800327.17
3340015,345195702,34,INNLANDET,3421,TRYSIL,26,869,0,0,Nyskog Hytteområde T-20,1,2254.3,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100817.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,687284.05,6789575.09
3340016,345832628,42,AGDER,4203,ARENDAL,68,388,0,0,,1,1928.6,0,Ikke oppgitt,,,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,496191.62,6487590.89
3340017,346021047,30,VIKEN,3038,HOLE,190,166,0,0,,1,558.6,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,572093.4062485588,6659529.655242092
3340018,346000555,50,TRØNDELAG,5001,TRONDHEIM,323,2316,0,1,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,1,2,20100914.0,2010.0,0,UKJENT,,,1,0,,,,
3340019,345789609,42,AGDER,4204,KRISTIANSAND,37,704,0,0,,1,1200.9,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,7,22.0,EUREF89 UTM Sone 32,443248.59,6449600.15
3340020,346000554,50,TRØNDELAG,5001,TRONDHEIM,323,2316,0,2,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,1,2,20100914.0,2010.0,0,UKJENT,,,1,0,,,,
3340021,346000552,50,TRØNDELAG,5001,TRONDHEIM,315,556,0,1,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,77,154,20100825.0,2010.0,0,UKJENT,,,1,0,,,,
3340022,346000551,50,TRØNDELAG,5001,TRONDHEIM,315,556,0,2,,1,0.0,0,Ikke oppgitt,X,Bolig,True,,,,,77,154,20100825.0,2010.0,0,UKJENT,,,1,0,,,,
3340023,345906338,11,ROGALAND,1144,KVITSØY,16,58,0,0,,1,587.0,0,Ikke oppgitt,,,True,,,,,0,0,20100824.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,1,22.0,EUREF89 UTM Sone 32,294648.32,6552496.12
3340024,345064623,42,AGDER,4223,VENNESLA,6,1914,0,0,,1,688.6,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100816.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,440940.38,6460889.57
3340025,345578719,30,VIKEN,3030,LILLESTRØM,435,132,0,21,,1,17.1,0,Ikke oppgitt,X,Bolig,True,,,,,1,52,20100909.0,2010.0,0,UKJENT,,,1,0,22.0,EUREF89 UTM Sone 32,623111.255,6645178.005
3340026,346019033,38,VESTFOLD OG TELEMARK,3824,TOKKE,127,7,0,0,Tomt nr.1.,1,1976.8,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,438768.75,6584359.54
3340027,345253085,18,NORDLAND,1851,LØDINGEN,28,374,0,0,Kirkevegen 11A,1,16300.2,0,Ikke oppgitt,Q,Helse- og sosialtjenester,True,,,,,0,0,20101028.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,0,23.0,EUREF89 UTM Sone 33,540152.35,7588492.33
3340028,345394396,46,VESTLAND,4613,BØMLO,84,115,0,0,,1,2066.3,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100819.0,2010.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,290637.53,6634158.6
3340029,345328836,15,MØRE OG ROMSDAL,1507,ÅLESUND,303,233,0,0,,1,146.6,0,Ikke oppgitt,,,True,,,,,0,0,20100818.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,0,22.0,EUREF89 UTM Sone 32,367926.14,6956162.33
3340030,345928909,18,NORDLAND,1837,MELØY,61,251,0,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,,,,
3340031,345515214,20,FINNMARK,2030,SØR-VARANGER,27,544,0,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,20101111.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,,,,
3340032,345642179,34,INNLANDET,3432,LESJA,1,28,0,0,,1,772.8,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20100929.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,455369.47581599175,6906383.511499999
3340033,345093323,30,VIKEN,3030,LILLESTRØM,458,5,0,0,,1,1217.9,1,Målebrev,Y,Annet som ikke er næring,True,,,,,0,0,20100816.0,2010.0,1,BEST. GRUNNEIENDOM,,,3,1,22.0,EUREF89 UTM Sone 32,624423.74,6638820.42
3340034,345550020,38,VESTFOLD OG TELEMARK,3805,LARVIK,4112,27,3,0,UTINGLYST,1,89.9,0,Ikke oppgitt,,,False,,,,,0,0,19940505.0,1994.0,2,BESTÅENDE FESTEGRUNN,,,1,1,22.0,EUREF89 UTM Sone 32,552753.64,6537614.23
3340035,345965763,42,AGDER,4223,VENNESLA,23,801,0,0,,1,590.1,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20100825.0,2010.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,438611.78,6458577.48
3340036,345253065,30,VIKEN,3026,AURSKOG-HØLAND,34,189,0,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,20100818.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,2,,,,
3340037,345310410,54,TROMS OG FINNMARK,5421,SENJA,216,201,0,0,,1,2382.5,0,Ikke oppgitt,,,True,,,,,0,0,20100818.0,2010.0,1,BEST. GRUNNEIENDOM,,,0,0,23.0,EUREF89 UTM Sone 33,586233.75,7664730.59
