,EIENDOM_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,BRUKSNAVN,ANTALL_TEIGER,AREAL,AREALKILDE_NR,AREALKILDE_NAVN,NÆRINGS_KODE,NÆRINGS_KODE_NAVN,TINGLYST,OMSETNINGSDATO,KJOPESUM,OMSETNINGSTYPE_KODE,OMSETNINGSTYPE_NAVN,SAMEIE_TELLER,SAMEIE_NEVNER,ETABLERT_DATO,ETABLERT_AAR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,BYGNING_PAA_EIENDOM,BYGNING_PAA_EIENDOM_NAVN,ANTALL_BYGNINGER,ANTALL_ADRESSER,LKOORD_SYS_NR,LKOORD_SYS_NAVN,LKOOELOKX,LKOOELOKY
3490000,452127478,46,VESTLAND,4625,AUSTEVOLL,66,176,0,0,,1,1062.2,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20130402.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,5,22.0,EUREF89 UTM Sone 32,288161.16500000004,6658324.045
3490001,452891387,30,VIKEN,3024,BÆRUM,17,122,0,1,,1,0.0,0,Ikke oppgitt,,,True,,,,,2,3,20130418.0,2013.0,0,UKJENT,,,0,0,,,,
3490002,452127476,46,VESTLAND,4625,AUSTEVOLL,66,177,0,0,,1,870.2,0,Ikke oppgitt,C,Industri,True,,,,,0,0,20130402.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,4,22.0,EUREF89 UTM Sone 32,288196.0,6658302.0
3490003,452616950,15,MØRE OG ROMSDAL,1507,ÅLESUND,122,24,0,1,,1,0.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,1,4,20130415.0,2013.0,0,UKJENT,,,1,0,,,,
3490004,452541172,42,AGDER,4204,KRISTIANSAND,471,627,0,0,,1,696.4,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20130416.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,427216.91,6441589.86
3490005,452616951,15,MØRE OG ROMSDAL,1507,ÅLESUND,122,24,0,2,,1,0.0,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,1,4,20130415.0,2013.0,0,UKJENT,,,1,0,,,,
3490006,452645623,46,VESTLAND,4601,BERGEN,13,1137,0,0,,1,57.2,0,Ikke oppgitt,,,True,,,,,0,0,20130412.0,2013.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,297902.98,6694313.54
3490007,452363001,42,AGDER,4204,KRISTIANSAND,1,839,0,0,,1,643.9,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20130411.0,2013.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,440810.94,6437996.65
3490008,452408038,30,VIKEN,3011,HVALER,53,322,0,0,,1,1730.2,0,Ikke oppgitt,,,True,,,,,0,0,20130405.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,1,22.0,EUREF89 UTM Sone 32,609264.175,6552550.855
3490009,452254439,42,AGDER,4223,VENNESLA,56,155,0,0,,1,1428.9,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20130628.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,2,22.0,EUREF89 UTM Sone 32,432253.32,6462520.99
3490010,452356847,54,TROMS OG FINNMARK,5419,SØRREISA,26,470,0,0,,1,96917.0,0,Ikke oppgitt,,,True,,,,,0,0,20130416.0,2013.0,1,BEST. GRUNNEIENDOM,,,0,0,23.0,EUREF89 UTM Sone 33,623201.64,7668687.72
3490011,452569826,30,VIKEN,3001,HALDEN,64,350,0,0,,2,2086.3,0,Ikke oppgitt,X,Bolig,True,,,,,0,0,20130409.0,2013.0,1,BEST. GRUNNEIENDOM,,,1,1,22.0,EUREF89 UTM Sone 32,635967.76,6557541.1
3490012,452580066,42,AGDER,4204,KRISTIANSAND,471,634,0,0,,1,721.2,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20130416.0,2013.0,1,BEST. GRUNNEIENDOM,,,3,1,22.0,EUREF89 UTM Sone 32,427067.33,6441668.21
3490013,452305620,38,VESTFOLD OG TELEMARK,3820,SELJORD,49,86,0,0,,2,75611.5,0,Ikke oppgitt,,,True,,,,,0,0,20130408.0,2013.0,1,BEST. GRUNNEIENDOM,,,0,0,22.0,EUREF89 UTM Sone 32,475776.58,6595925.88
3490014,452360919,42,AGDER,4204,KRISTIANSAND,1,838,0,0,,1,651.5,0,Ikke oppgitt,Y,Annet som ikke er næring,True,,,,,0,0,20130411.0,2013.0,1,BEST. GRUNNEIENDOM,,,2,2,22.0,EUREF89 UTM Sone 32,440805.81,6438024.31
3490015,452418262,54,TROMS OG FINNMARK,5413,IBESTAD,103,6,2,0,,1,0.0,0,Ikke oppgitt,,,True,,,,,0,0,20130408.0,2013.0,3,BESTÅENDE PUNKTFESTE,,,0,0,23.0,EUREF89 UTM Sone 33,589093.457134,7635838.408908
