,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
240000,23079264,54,TROMS OG FINNMARK,5418,MÅLSELV,191399145,1,,,TB,Tatt i bruk,20041019,20041215,20160101,X,Bolig,T,Tilbygg,3.0,Privat innlagt,43.0,43.0,0.0,1,0,,,,,,,,1,False,43.0
240001,23079267,54,TROMS OG FINNMARK,5418,MÅLSELV,191399153,0,183.0,Naust båthus sjøbu,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,15.0,0.0,15.0,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639224.0,7695990.0,0.0,1,False,0.0
240002,23079269,54,TROMS OG FINNMARK,5418,MÅLSELV,191399161,0,183.0,Naust båthus sjøbu,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,27.0,0.0,27.0,1,0,23.0,EUREF89 UTM Sone 33,89,FrihTegn_InnlFraSkjerm<1_100000,639222.0,7695980.0,0.0,1,False,0.0
240003,23079271,54,TROMS OG FINNMARK,5418,MÅLSELV,191399188,0,161.0,Fritidsbygg(hyttersommerh. ol,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,58.0,0.0,58.0,1,0,23.0,EUREF89 UTM Sone 33,89,FrihTegn_InnlFraSkjerm<1_100000,639235.0,7696023.0,0.0,1,False,0.0
240004,23079273,54,TROMS OG FINNMARK,5418,MÅLSELV,191399196,0,840.0,Offentlig toalett,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,5.0,0.0,5.0,1,0,23.0,EUREF89 UTM Sone 33,89,FrihTegn_InnlFraSkjerm<1_100000,639175.0,7695794.0,0.0,1,False,0.0
240005,23079275,54,TROMS OG FINNMARK,5418,MÅLSELV,191399218,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639052.0,7695587.0,0.0,1,False,0.0
240006,23079277,54,TROMS OG FINNMARK,5418,MÅLSELV,191399226,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,12.0,0.0,12.0,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639073.0,7695585.0,0.0,1,False,0.0
240007,23079279,54,TROMS OG FINNMARK,5418,MÅLSELV,191399234,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,163.0,163.0,0.0,2,1,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639071.0,7695571.0,0.0,1,False,0.0
240008,23079281,54,TROMS OG FINNMARK,5418,MÅLSELV,191399242,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,X,Bolig,,,,,129.0,129.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639041.0,7695541.0,0.0,1,False,72.5
240009,23079283,54,TROMS OG FINNMARK,5418,MÅLSELV,191399250,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,25.0,0.0,25.0,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639030.0,7695556.0,0.0,1,False,39.0
240010,23079285,54,TROMS OG FINNMARK,5418,MÅLSELV,191399269,0,239.0,Annen lagerbygning,TB,Tatt i bruk,10101,10101,10101,C,Industri,,,,,442.0,0.0,442.0,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,638957.0,7695467.0,0.0,1,False,527.0
240011,23079287,54,TROMS OG FINNMARK,5418,MÅLSELV,191399277,0,239.0,Annen lagerbygning,TB,Tatt i bruk,10101,10101,10101,C,Industri,,,1.0,Tilkn. off. vannverk,107.2,0.0,107.2,1,0,23.0,EUREF89 UTM Sone 33,54,DigitFraStrekKart1_5000,639006.0,7695479.0,0.0,1,False,137.0
