,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
5040000,481064110,18,NORDLAND,1804,BODØ,300427175,0,131.0,Rekkehus,MB,Midlertidig brukstillatelse,20140305,20140409,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,141.0,141.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,,,476100.5,7461815.8,,1,False,78.0
5040001,480992429,30,VIKEN,3023,NESODDEN,6608795,1,,,FA,Ferdigattest,10101,20140319,10101,X,Bolig,T,Tilbygg,,,8.0,8.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,590027.9,6623862.1,,1,False,0.0
5040002,481084586,30,VIKEN,3024,BÆRUM,6704492,2,,,FA,Ferdigattest,10101,20140110,10101,Y,Annet som ikke er næring,O,Ombygging,,,0.0,118.0,-118.0,2,0,22.0,EUREF89 UTM Sone 32,,,590240.0,6644707.0,,1,False,0.0
5040003,480828576,50,TRØNDELAG,5001,TRONDHEIM,300426526,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20130605,20140101,Y,Annet som ikke er næring,,,,,9.0,0.0,9.0,1,0,22.0,EUREF89 UTM Sone 32,,,568941.64,7033462.59,,1,False,10.0
5040004,480828578,50,TRØNDELAG,5001,TRONDHEIM,300426538,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20121213,20160706,Y,Annet som ikke er næring,,,,,14.0,0.0,14.0,1,0,22.0,EUREF89 UTM Sone 32,,,570624.72,7033472.48,,1,False,35.0
5040005,481084582,30,VIKEN,3024,BÆRUM,300427271,0,172.0,Skogs- og utmarkskoie gamme,MT,Meldingssak registrer tiltak,10101,10101,10101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,586385.8,6640351.1,,1,False,27.0
5040006,480910523,15,MØRE OG ROMSDAL,1505,KRISTIANSUND,300426814,0,121.0,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20140304,20141103,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,125.0,125.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,,,439209.62,7000207.31,,1,False,70.0
5040007,480910521,15,MØRE OG ROMSDAL,1505,KRISTIANSUND,300426811,0,121.0,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,20140304,20141103,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,125.0,125.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,,,439201.91,7000207.54,,1,False,70.0
5040008,480957628,30,VIKEN,3005,DRAMMEN,158470101,1,,,IG,Igangsettingstillatelse,10101,20140306,10101,X,Bolig,T,Tilbygg,,,34.0,34.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,566898.7,6622556.5,,1,False,43.0
5040009,481064116,18,NORDLAND,1804,BODØ,300427180,0,131.0,Rekkehus,MB,Midlertidig brukstillatelse,20140305,20140409,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,142.0,142.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,,,476092.6,7461830.0,,1,False,78.0
5040010,480992434,30,VIKEN,3023,NESODDEN,300427206,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20140314,10101,Y,Annet som ikke er næring,,,,,37.0,0.0,37.0,1,0,22.0,EUREF89 UTM Sone 32,,,590130.7,6623737.8,,1,False,38.4
5040011,481064118,18,NORDLAND,1804,BODØ,300427183,0,131.0,Rekkehus,MB,Midlertidig brukstillatelse,20140305,20140409,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,147.0,147.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,,,476132.1,7461806.3,,1,False,84.0
5040012,480992432,30,VIKEN,3023,NESODDEN,149390464,1,,,MT,Meldingssak registrer tiltak,10101,10101,10101,X,Bolig,T,Tilbygg,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,594255.0,6635335.7,,1,False,30.0
5040013,481064112,18,NORDLAND,1804,BODØ,300427176,0,131.0,Rekkehus,MB,Midlertidig brukstillatelse,20140305,20140409,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,141.0,141.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,,,476098.5,7461819.6,,1,False,78.0
5040014,480910519,15,MØRE OG ROMSDAL,1505,KRISTIANSUND,12621086,1,,,IG,Igangsettingstillatelse,20140303,20140331,10101,X,Bolig,T,Tilbygg,1.0,Tilkn. off. vannverk,31.0,31.0,0.0,1,0,,,,,,,,1,False,34.0
5040015,480992438,30,VIKEN,3022,FROGN,149237755,1,,,TB,Tatt i bruk,10101,10101,20150520,Y,Annet som ikke er næring,T,Tilbygg,,,20.0,0.0,20.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,593575.0,6610004.0,,1,False,28.0
5040016,481064114,18,NORDLAND,1804,BODØ,300427179,0,131.0,Rekkehus,MB,Midlertidig brukstillatelse,20140305,20140409,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,141.0,141.0,0.0,3,1,23.0,EUREF89 UTM Sone 33,,,476095.2,7461825.9,,1,False,78.0
5040017,480957621,30,VIKEN,3005,DRAMMEN,300426987,0,999.0,,TB,Tatt i bruk,10101,19691121,19700101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,565708.3,6624030.4,,1,False,0.0
5040018,480992399,30,VIKEN,3029,LØRENSKOG,300427031,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,19770314,10101,Y,Annet som ikke er næring,,,,,5.3,0.0,5.3,1,0,22.0,EUREF89 UTM Sone 32,,,609767.6,6643380.4,,1,False,5.3
5040019,480853132,54,TROMS OG FINNMARK,5403,ALTA,300426635,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20140318,10101,Y,Annet som ikke er næring,,,4.0,Privat ikke innlagt,43.0,0.0,43.0,1,0,25.0,EUREF89 UTM Sone 35,,,363456.9,7765826.1,,1,False,47.0
5040020,480949379,38,VESTFOLD OG TELEMARK,3814,KRAGERØ,300426921,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,20110404,20140324,10101,Y,Annet som ikke er næring,,,,,161.3,0.0,161.3,2,0,22.0,EUREF89 UTM Sone 32,,,524149.0,6517532.0,,1,False,147.3
5040021,480828570,50,TRØNDELAG,5001,TRONDHEIM,182479381,1,,,TB,Tatt i bruk,10101,20121113,20140101,Y,Annet som ikke er næring,T,Tilbygg,,,11.0,0.0,11.0,1,0,22.0,EUREF89 UTM Sone 32,,,567643.37,7025259.74,,1,False,12.0
5040022,480828572,50,TRØNDELAG,5001,TRONDHEIM,300426516,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20121211,20140101,Y,Annet som ikke er næring,,,,,16.0,0.0,16.0,1,0,22.0,EUREF89 UTM Sone 32,,,571048.94,7036092.91,,1,False,36.0
5040023,480828574,50,TRØNDELAG,5001,TRONDHEIM,300426524,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20121115,20140101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,572622.2,7032300.91,,1,False,24.0
5040024,480992403,30,VIKEN,3029,LØRENSKOG,300427035,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,19770314,10101,Y,Annet som ikke er næring,,,,,5.3,0.0,5.3,1,0,22.0,EUREF89 UTM Sone 32,,,609782.9,6643380.8,,1,False,5.3
5040025,480853136,54,TROMS OG FINNMARK,5403,ALTA,14532269,1,,,FA,Ferdigattest,10101,20140319,10101,X,Bolig,T,Tilbygg,,,108.0,108.0,0.0,1,0,25.0,EUREF89 UTM Sone 35,,,362311.4,7765544.6,,1,False,110.0
