,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
2070000,123072341,30,VIKEN,3019,VESTBY,24289737,0,999.0,,BA,Bygging avlyst,20060106,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,597386.0,6604856.0,0.0,1,False,0.0
2070001,123072343,30,VIKEN,3019,VESTBY,24289745,0,181.0,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,Y,Annet som ikke er næring,,,,,60.0,0.0,60.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,595685.0,6600133.0,,1,False,0.0
2070002,123072337,30,VIKEN,3019,VESTBY,24289729,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,20051223,20051227,20060303,Y,Annet som ikke er næring,,,,,49.0,0.0,49.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,595413.0,6598975.0,0.0,1,False,0.0
2070003,123072349,30,VIKEN,3019,VESTBY,24289788,0,111.0,Enebolig,FA,Ferdigattest,20060216,20060216,10101,X,Bolig,,,,,192.0,192.0,0.0,1,1,22.0,EUREF89 UTM Sone 32,--,UOppgitt,595382.0,6596725.0,,1,False,0.0
2070004,123072351,30,VIKEN,3019,VESTBY,24289796,0,142.0,Stort frittliggende boligbygg på 3 og 4 etg.,TB,Tatt i bruk,20060412,20060512,20070327,X,Bolig,,,,,1898.0,1898.0,0.0,5,16,22.0,EUREF89 UTM Sone 32,--,UOppgitt,599400.0,6608151.0,0.0,16,True,0.0
2070005,123072345,30,VIKEN,3019,VESTBY,24289761,0,131.0,Rekkehus,TB,Tatt i bruk,20050629,20050629,20060309,X,Bolig,,,,,116.0,116.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,,,596916.9,6607209.6,,1,False,0.0
2070006,123072324,30,VIKEN,3019,VESTBY,24289680,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,20051102,20060526,20060629,Y,Annet som ikke er næring,,,,,28.0,0.0,28.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,595690.0,6598523.0,0.0,1,False,0.0
2070007,123072320,30,VIKEN,3019,VESTBY,24289672,0,142.0,Stort frittliggende boligbygg på 3 og 4 etg.,TB,Tatt i bruk,20050606,20050606,20060629,X,Bolig,,,,,1891.0,1891.0,0.0,5,16,22.0,EUREF89 UTM Sone 32,--,UOppgitt,599312.0,6608136.0,0.0,16,True,0.0
2070008,123072332,30,VIKEN,3019,VESTBY,24289702,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,20051115,20051115,10101,Y,Annet som ikke er næring,,,,,20.0,0.0,20.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,596344.0,6607200.0,0.0,1,False,20.0
2070009,123072334,30,VIKEN,3019,VESTBY,24289710,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,20051214,20060102,10101,Y,Annet som ikke er næring,,,,,52.0,0.0,52.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,602306.0,6605678.0,0.0,1,False,59.0
2070010,123072328,30,VIKEN,3019,VESTBY,24289699,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,20051107,20051122,20051122,A,"Jordbruk, skogbruk og fiske",,,,,35.0,0.0,35.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,595064.0,6611336.0,0.0,1,False,0.0
2070011,123072374,30,VIKEN,3019,VESTBY,24289877,0,112.0,Enebolig m/hybel/sokkelleil.,FA,Ferdigattest,20060627,20061123,10101,X,Bolig,,,,,335.0,335.0,0.0,3,2,22.0,EUREF89 UTM Sone 32,,,595372.8,6596531.0,,1,False,0.0
2070012,123072370,30,VIKEN,3019,VESTBY,24289869,0,231.0,Lagerhall,TB,Tatt i bruk,20060615,20060621,20061102,A,"Jordbruk, skogbruk og fiske",,,,,10.0,0.0,10.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,600040.0,6608455.0,0.0,1,False,0.0
2070013,123072380,30,VIKEN,3019,VESTBY,24289893,0,531.0,Restaurantbygning kafebygning,TB,Tatt i bruk,20030210,20160101,20160101,I,Overnattings- og serveringsvirksomhet,,,,,359.0,10.0,349.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,593419.0,6609004.0,0.0,1,False,390.0
