,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
5210000,559434072,3,OSLO,301,OSLO,80040776,1,,,FA,Ferdigattest,10101,20160603,10101,X,Bolig,T,Tilbygg,,,10.0,10.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,591245.0,6644755.0,,1,False,15.7
5210001,559280468,42,AGDER,4204,KRISTIANSAND,300568281,0,112.0,Enebolig m/hybel/sokkelleil.,FA,Ferdigattest,10101,20160531,10101,X,Bolig,,,,,356.0,356.0,0.0,3,2,22.0,EUREF89 UTM Sone 32,,,432212.9,6445801.6,,1,False,189.0
5210002,559526235,50,TRØNDELAG,5053,INDERØY,300568673,0,524.0,Camping/utleiehytte,TB,Tatt i bruk,10101,20160628,20170110,I,Overnattings- og serveringsvirksomhet,,,,,23.0,0.0,23.0,1,0,22.0,EUREF89 UTM Sone 32,,,599254.4,7078788.2,,1,False,20.0
5210003,559231313,34,INNLANDET,3423,STOR-ELVDAL,300568090,0,161.0,Fritidsbygg(hyttersommerh. ol,IG,Igangsettingstillatelse,20160708,20160708,10101,Y,Annet som ikke er næring,,,,,101.0,0.0,101.0,1,0,22.0,EUREF89 UTM Sone 32,,,564151.9,6849005.6,,1,False,115.0
5210004,559526239,50,TRØNDELAG,5053,INDERØY,300568674,0,524.0,Camping/utleiehytte,IG,Igangsettingstillatelse,10101,20160628,10101,I,Overnattings- og serveringsvirksomhet,,,,,13.0,0.0,13.0,1,0,22.0,EUREF89 UTM Sone 32,,,599258.6,7078794.4,,1,False,20.0
5210005,559440211,34,INNLANDET,3446,GRAN,300568492,0,181.0,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20160711,10101,Y,Annet som ikke er næring,,,,,42.0,0.0,42.0,1,0,22.0,EUREF89 UTM Sone 32,,,584196.6,6698596.2,,1,False,43.0
5210006,559194457,11,ROGALAND,1121,TIME,171772605,2,,,FA,Ferdigattest,20160622,20160711,10101,O,"Off. adm. og forsvar, og trygdeordninger underlagt off. forvaltning",O,Ombygging,,,265.0,0.0,265.0,2,0,,,,,,,,1,False,0.0
5210007,559434070,3,OSLO,301,OSLO,81619921,1,,,FA,Ferdigattest,20160706,20161020,10101,X,Bolig,T,Tilbygg,,,54.0,54.0,0.0,3,0,22.0,EUREF89 UTM Sone 32,,,603298.8,6640102.7,,1,False,0.0
5210008,559378759,50,TRØNDELAG,5061,RINDAL,21212946,1,,,FA,Ferdigattest,20160622,20160622,10101,X,Bolig,T,Tilbygg,,,6.0,6.0,0.0,1,0,,,,,,,,1,False,4.6
5210009,559192390,18,NORDLAND,1838,GILDESKÅL,300568004,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20160407,20170101,Y,Annet som ikke er næring,,,,,50.0,0.0,50.0,1,0,23.0,EUREF89 UTM Sone 33,,,470217.7,7444736.1,,1,False,50.0
