,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
4710000,338412587,30,VIKEN,3005,DRAMMEN,300137591,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20110101,Y,Annet som ikke er næring,,,,,24.0,0.0,24.0,1,0,22.0,EUREF89 UTM Sone 32,,,557336.0,6623717.4,,1,False,28.0
4710001,338226219,42,AGDER,4205,LINDESNES,168601468,1,,,MF,Meldingssak tiltak fullført,10101,10101,10101,Y,Annet som ikke er næring,T,Tilbygg,,,28.0,0.0,28.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,412019.13,6430436.22,,1,False,0.0
4710002,338412584,30,VIKEN,3005,DRAMMEN,300137578,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20110101,Y,Annet som ikke er næring,,,,,24.0,0.0,24.0,1,0,22.0,EUREF89 UTM Sone 32,,,557336.6,6623711.4,,1,False,28.0
4710003,338226221,42,AGDER,4205,LINDESNES,168614705,1,,,TB,Tatt i bruk,10101,10101,20181015,X,Bolig,T,Tilbygg,,,28.0,28.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,418461.32,6433431.1,,1,False,28.0
4710004,338402337,30,VIKEN,3020,NORDRE FOLLO,300137368,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,20080101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,601787.7,6621032.9,,1,False,0.0
4710005,338209848,11,ROGALAND,1149,KARMØY,300136871,0,122.0,"Tomannsbolig, horisontaldelt",BA,Bygging avlyst,20100510,10101,10101,X,Bolig,,,,,230.0,230.0,0.0,2,2,22.0,EUREF89 UTM Sone 32,,,288791.7,6581911.9,,1,False,0.0
4710006,338226232,38,VESTFOLD OG TELEMARK,3805,LARVIK,8366187,3,,,FA,Ferdigattest,10101,20090901,10101,Q,Helse- og sosialtjenester,O,Ombygging,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,559400.0,6540299.0,,1,False,0.0
4710007,338299963,50,TRØNDELAG,5038,VERDAL,185964442,1,,,MF,Meldingssak tiltak fullført,10101,10101,10101,X,Bolig,T,Tilbygg,1.0,Tilkn. off. vannverk,20.0,20.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,621977.6,7073947.0,,1,False,20.0
4710008,338226234,38,VESTFOLD OG TELEMARK,3805,LARVIK,163070154,1,,,MT,Meldingssak registrer tiltak,10101,10101,10101,X,Bolig,T,Tilbygg,,,6.0,6.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,558336.0,6540017.0,,1,False,0.0
4710009,338299961,50,TRØNDELAG,5038,VERDAL,185932400,1,,,MF,Meldingssak tiltak fullført,10101,10101,10101,X,Bolig,T,Tilbygg,,,4.0,4.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,622703.6,7073667.6,,1,False,0.0
