,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
5310000,604544008,34,INNLANDET,3407,GJØVIK,300655094,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,578812.99,6764584.47,,1,False,38.0
5310001,604275717,18,NORDLAND,1806,NARVIK,300654409,0,111.0,Enebolig,FA,Ferdigattest,20170912,20170912,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,322.0,322.0,0.0,2,1,23.0,EUREF89 UTM Sone 33,,,600390.9,7593280.88,,1,False,206.0
5310002,604365831,42,AGDER,4205,LINDESNES,300654662,0,182.0,Garasjeuth.anneks til fritidb,TB,Tatt i bruk,10101,10101,20171115,Y,Annet som ikke er næring,,,,,13.0,0.0,13.0,1,0,22.0,EUREF89 UTM Sone 32,,,404150.9,6432085.5,,1,False,0.0
5310003,604396548,34,INNLANDET,3412,LØTEN,300654719,0,131.0,Rekkehus,FA,Ferdigattest,20171115,20180925,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,86.0,86.0,0.0,1,1,22.0,EUREF89 UTM Sone 32,,,624837.9,6746240.2,,1,False,93.0
5310004,604492805,30,VIKEN,3034,NES,300654929,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20171115,10101,Y,Annet som ikke er næring,,,,,233.0,0.0,233.0,1,0,22.0,EUREF89 UTM Sone 32,,,634474.7,6672518.1,,1,False,240.0
5310005,604544010,34,INNLANDET,3407,GJØVIK,300655096,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,579203.51,6764970.86,,1,False,34.0
5310006,604275719,18,NORDLAND,1806,NARVIK,300654487,0,111.0,Enebolig,MB,Midlertidig brukstillatelse,20170918,20180612,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,222.0,222.0,0.0,2,1,23.0,EUREF89 UTM Sone 33,,,596722.07,7591600.64,,1,False,182.0
5310007,604531724,42,AGDER,4204,KRISTIANSAND,300655045,0,112.0,Enebolig m/hybel/sokkelleil.,IG,Igangsettingstillatelse,20171115,20180108,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,257.0,257.0,0.0,2,2,22.0,EUREF89 UTM Sone 32,,,443115.9,6448243.2,,1,False,187.0
5310008,604275715,18,NORDLAND,1806,NARVIK,187328284,1,,,IG,Igangsettingstillatelse,20170920,20170920,10101,X,Bolig,O,Ombygging,1.0,Tilkn. off. vannverk,15.0,15.0,0.0,1,0,23.0,EUREF89 UTM Sone 33,,,596865.75,7591549.7,,1,False,0.0
5310009,604316674,54,TROMS OG FINNMARK,5418,MÅLSELV,300654470,0,249.0,Annen landbruksbygning,FA,Ferdigattest,20171114,20171114,10101,A,"Jordbruk, skogbruk og fiske",,,,,176.0,0.0,176.0,1,0,23.0,EUREF89 UTM Sone 33,,,663291.238,7647528.359,,1,False,176.0
5310010,604312588,30,VIKEN,3033,ULLENSAKER,300654443,0,181.0,Garasjeuthus anneks til bolig,IG,Igangsettingstillatelse,10101,20171110,10101,Y,Annet som ikke er næring,,,,,47.0,0.0,47.0,1,0,22.0,EUREF89 UTM Sone 32,,,618854.9,6670595.8,,1,False,49.0
5310011,604490766,34,INNLANDET,3412,LØTEN,300654903,0,161.0,Fritidsbygg(hyttersommerh. ol,FA,Ferdigattest,10101,20170824,10101,Y,Annet som ikke er næring,,,1.0,Tilkn. off. vannverk,83.0,0.0,83.0,2,0,22.0,EUREF89 UTM Sone 32,,,623538.0,6759059.2,,1,False,82.0
5310012,604314639,15,MØRE OG ROMSDAL,1566,SURNADAL,300654459,0,111.0,Enebolig,MB,Midlertidig brukstillatelse,20171031,20171031,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,184.0,184.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,,,484910.99,6984961.24,,1,False,161.0
5310013,604544002,34,INNLANDET,3407,GJØVIK,300655081,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,578933.53,6764407.54,,1,False,23.0
5310014,604533763,30,VIKEN,3001,HALDEN,300655065,0,111.0,Enebolig,FA,Ferdigattest,10101,20171025,10101,X,Bolig,,,1.0,Tilkn. off. vannverk,329.9,329.9,0.0,2,1,22.0,EUREF89 UTM Sone 32,,,635214.6,6556698.8,,1,False,202.1
5310015,604591106,11,ROGALAND,1108,SANDNES,9136266,1,,,IG,Igangsettingstillatelse,10101,20170509,10101,X,Bolig,T,Tilbygg,,,26.0,26.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,,,311321.8,6529662.5,,1,False,28.0
