,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
180000,18370840,30,VIKEN,3004,FREDRIKSTAD,193956416,1,,,TB,Tatt i bruk,20040202,20040202,20040202,Y,Annet som ikke er næring,T,Tilbygg,1.0,Tilkn. off. vannverk,15.0,0.0,15.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,604750.31,6562450.833,,1,False,15.0
180001,18372889,30,VIKEN,3004,FREDRIKSTAD,193959911,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615271.0,6568434.0,0.0,2,False,0.0
180002,18370843,30,VIKEN,3004,FREDRIKSTAD,193956424,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,185.0,185.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,54,DigitFraStrekKart1_5000,604772.282,6562441.562,,1,False,0.0
180003,18372891,30,VIKEN,3004,FREDRIKSTAD,193959938,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615277.463,6568449.132,,1,False,0.0
180004,18370845,30,VIKEN,3004,FREDRIKSTAD,193956424,1,,,TB,Tatt i bruk,19970624,19970624,19980624,X,Bolig,T,Tilbygg,1.0,Tilkn. off. vannverk,32.0,32.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,604772.403,6562444.975,,1,False,0.0
180005,18372893,30,VIKEN,3004,FREDRIKSTAD,193959946,0,112.0,Enebolig m/hybel/sokkelleil.,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,202.0,202.0,0.0,1,2,22.0,EUREF89 UTM Sone 32,--,UOppgitt,615193.0,6568259.0,0.0,1,False,0.0
180006,18372895,30,VIKEN,3004,FREDRIKSTAD,193959946,1,,,TB,Tatt i bruk,19970916,19970920,19971222,X,Bolig,T,Tilbygg,1.0,Tilkn. off. vannverk,72.0,72.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,615183.582,6568262.194,,1,False,0.0
180007,18370833,30,VIKEN,3004,FREDRIKSTAD,193956408,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,1.0,Tilkn. off. vannverk,50.0,0.0,50.0,1,0,22.0,EUREF89 UTM Sone 32,42,DigFraFlybOrtof1_1000,604759.0,6562428.0,0.0,1,False,13.0
180008,18372881,30,VIKEN,3004,FREDRIKSTAD,193959865,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615222.0,6568362.0,0.0,1,False,0.0
180009,18370835,30,VIKEN,3004,FREDRIKSTAD,193956408,1,,,TB,Tatt i bruk,20040202,20040202,20040202,Y,Annet som ikke er næring,T,Tilbygg,1.0,Tilkn. off. vannverk,13.0,0.0,13.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,604757.578,6562429.621,,1,False,13.0
180010,18372883,30,VIKEN,3004,FREDRIKSTAD,193959873,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,156.0,156.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615234.0,6568384.0,0.0,1,False,0.0
180011,18372885,30,VIKEN,3004,FREDRIKSTAD,193959881,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,147.0,147.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615250.0,6568404.0,0.0,1,False,0.0
180012,18370838,30,VIKEN,3004,FREDRIKSTAD,193956416,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,1.0,Tilkn. off. vannverk,34.0,0.0,34.0,1,0,22.0,EUREF89 UTM Sone 32,54,DigitFraStrekKart1_5000,604749.0,6562450.0,0.0,1,False,15.0
180013,18372887,30,VIKEN,3004,FREDRIKSTAD,193959903,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,157.0,157.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,615264.0,6568421.0,0.0,1,False,0.0
180014,18374920,30,VIKEN,3004,FREDRIKSTAD,193963412,1,,,TB,Tatt i bruk,19950428,19951009,19970730,X,Bolig,T,Tilbygg,1.0,Tilkn. off. vannverk,104.0,104.0,0.0,2,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,605788.0,6560848.0,0.0,1,False,0.0
180015,18370825,30,VIKEN,3004,FREDRIKSTAD,193956343,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,54,DigitFraStrekKart1_5000,604790.0,6562698.0,0.0,1,False,0.0
