|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
280000|79 Watch Hl Lt 7-49|111900.0|2005-03-31T00:00:00||row-pcph.f78d.dm25|2004|7||V|||65000.0|1.721538|40182|Berlin
280001|8 Beffa Rd|21770.0|2005-03-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.225674, 42.014392]}]|row-9j8w-ud2j-4e2k|2004|7||R|||269900.0|0.08066|40162|Stafford
280002|394 Gibson Hl Rd|132050.0|2005-04-05T00:00:00|[{'type': 'Point', 'coordinates': [-71.799121, 41.723998]}]|row-vhfe.mnv2.sz6x|2004|||R|||260000.0|0.507885|40066|Sterling
280003|131 Salisbury St|37170.0|2005-04-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.696987, 41.804062]}]|row-pyyw-7ai9.nq9c|2004|13||R|||81900.0|0.453846|41006|Hartford
280004|32 Second St|82600.0|2005-03-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.936167, 41.343201]}]|row-mcrv~wndv~5exh|2004|||R|||260000.0|0.317692|40525|Hamden
280005|6 Poplar Ln|287470.0|2005-03-31T00:00:00||row-2zxx.s2qy-4kub|2004|||R|||512518.0|0.560897|40465|New Milford
280006|229 Ellington Rd Apt 3|15800.0|2005-04-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.62296, 41.794628]}]|row-wsek~wwhi-n7fy|2004|||R|||59000.0|0.267797|40532|East Hartford
280007|41 Elro St|65200.0|2005-04-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.520757, 41.782239]}]|row-qaed-ah46-xp2x|2004|||R|||182000.0|0.358242|40504|Manchester
280008|56 Old Canterbury Tpke|133000.0|2005-03-31T00:00:00||row-2t8m~hqu5-vxdv|2004|||R|||200000.0|0.665|40546|Norwich
280009|38-5 Fairway Dr|71470.0|2005-03-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.011721, 41.445238]}]|row-b8ey~2qhe-5q9k|2004|||R|||184900.0|0.386533|40200|Ledyard
280010|42 Greenwood Ave|690410.0|2005-03-31T00:00:00|[{'type': 'Point', 'coordinates': [-73.511747, 41.098487]}]|row-cbq8-agvm-zn9j|2004|||R|||1100000.0|0.627645|40178|Darien
280011|9 Brownstone Dr|282040.0|2005-04-04T00:00:00||row-45rm-hevx-fefm|2004|||R|||450000.0|0.626756|40256|Avon
280012|126 Hopmeadow St 3E|86100.0|2005-04-04T00:00:00||row-dda2~7uxf-svku|2004|||R|||190000.0|0.453158|40237|Simsbury
