|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
580000|31 Alwyn Lane|1136400.0|2013-08-02T00:00:00|[{'type': 'Point', 'coordinates': [-73.3783, 41.241007]}]|row-jms3~vk3j-p8sx|2012|||Residential||Single Family|1260000.0|0.901905|1200155|Weston
580001|39 Block Farm Rd|408170.0|2013-08-02T00:00:00|[{'type': 'Point', 'coordinates': [-73.173432, 41.357594]}]|row-udck-i2ah-v7sb|2012|||Residential||Single Family|672500.0|0.606944|12236|Monroe
580002|171 Plains Road|244900.0|2013-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-72.32044, 41.915347]}]|row-g94k-u4v3-gidt|2012|||Residential||Single Family|360000.0|0.680278|120173|Tolland
580003|79 Ledgewood Dr|227000.0|2013-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-72.749055, 41.319318]}]|row-6wq9~an2a.hrgr|2012|18 - In Lieu Of Foreclosure||Residential||Single Family|180000.0|1.261111|120144|North Branford
580004|333 West Avenue #5|325640.0|2013-08-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.502101, 41.070696]}]|row-3mpj~ekre-gqd3|2012|07 - Change In Property||Residential||Condo|1295000.0|0.251459|12334|Darien
580005|49 Matilda Lane|181580.0|2013-08-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.167864, 41.285856]}]|row-u5av~rnmi-v4yk|2012|||Residential||Single Family|287500.0|0.631583|120481|Shelton
580006|476 Wilcoxson Ave|155960.0|2013-08-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.120652, 41.207008]}]|row-jb8q-8eh7-4cmf|2012|03 - Inter Corporation||Residential||Single Family|179000.0|0.871285|122052|Stratford
580007|8 Fairview Ave Ext|133070.0|2013-08-12T00:00:00||row-dxm6~jwqg-w8bz|2012|||Residential||Single Family|186000.0|0.71543|120124|Plymouth
580008|100 Sheffield St Unit C-2|268100.0|2013-08-15T00:00:00|[{'type': 'Point', 'coordinates': [-72.36832, 41.28903]}]|row-kk3b.zwew-yihm|2012|||Residential||Condo|299000.0|0.896656|120177|Old Saybrook
580009|24 Mt Pleasant Ave|164220.0|2013-08-15T00:00:00||row-brqa-gcik-v7q4|2012|14 - Foreclosure||Residential||Single Family|125000.0|1.31376|122060|Stratford
580010|396 Munger Ln|205800.0|2013-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.219065, 41.659615]}]|row-8q2e~vhgv-je4i|2012|||Residential||Single Family|265000.0|0.776604|12035|Bethlehem
580011|340 Windsor Ave|181370.0|2013-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.124413, 41.208745]}]|row-365a.8uy9.9dm2|2012|||Residential||Single Family|248000.0|0.731331|122043|Stratford
580012|5807 Whitney Ct|66710.0|2013-08-22T00:00:00||row-djeq.z3fq.48pd|2012|18 - In Lieu Of Foreclosure||Residential||Condo|91800.0|0.726688|120528|Meriden
580013|5 Eastview Rd|96940.0|2013-08-09T00:00:00||row-hnve-djh2~gj5i|2012|||Residential||Single Family|149000.0|0.650604|120565|Southington
580014|11 Settlement Rd|241920.0|2013-08-27T00:00:00||row-rzir.zmi9-tw23|2012|||Residential||Single Family|335000.0|0.722149|120118|Hebron
580015|96 Hollister Way S|141500.0|2013-08-26T00:00:00||row-cwej-yv2g-pb7x|2012|||Residential||Condo|225000.0|0.628889|12520|Glastonbury
580016|7 Buck Rd|156310.0|2013-08-26T00:00:00|[{'type': 'Point', 'coordinates': [-72.411011, 41.647524]}]|row-nv6g.m5ie-bdsc|2012|||Residential||Single Family|179500.0|0.870808|120116|Hebron
580017|372 South St|87500.0|2013-08-06T00:00:00|[{'type': 'Point', 'coordinates': [-71.894105, 41.794967]}]|row-575g.8tx5.n5vn|2012|01 - Family||Residential||Single Family|65000.0|1.346154|12094|Brooklyn
580018|9 Dancing Bear Rd|908670.0|2013-08-06T00:00:00|[{'type': 'Point', 'coordinates': [-73.431469, 41.07163]}]|row-67me-nik9-nhfb|2012|08 - Part Interest||Residential||Single Family|250000.0|3.63468|120980|Norwalk
580019|516 Pilgrims Harbor|139600.0|2013-06-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.818906, 41.423341]}]|row-b2cs-rfiz~xihw|2012|||Residential||Condo|158000.0|0.883544|120381|Wallingford
