|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
870000|13 Amber Dr|547300.0|2018-10-19T00:00:00|[{'type': 'Point', 'coordinates': [-73.525661, 41.483689]}]|row-xu9b.h2ee~47ie|2018|||Residential||Single Family|717500.0|0.7627|180027|New Fairfield
870001|27 Lillian Drive & 321 Oakland|214000.0|2018-10-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.516721, 41.804267]}]|row-a27f~twrd-n8e2|2018|25 - Other|Per mls listed as land sale suitable for apartment or condo. at least on bldg boarded up.|Residential||Single Family|190000.0|1.126316|180068|Manchester
870002|11 Maple Court|182880.0|2018-10-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.132706, 41.382941]}]|row-8v4w-5kan-b3wq|2018|07 - Change In Property||Residential||Single Family|278000.0|0.6578|180026|Waterford
870003|19 Douglas Dr|122570.0|2018-10-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.57169, 42.009567]}]|row-46cx-qwdi.jr8w|2018|||Residential||Single Family|196800.0|0.6228|180050|Enfield
870004|253-1G West St|85040.0|2018-10-29T00:00:00|[{'type': 'Point', 'coordinates': [-72.898106, 41.595061]}]|row-3mqh-8hw4.qg5k|2018|||Residential||Condo|105000.0|0.8099|180064|Southington
870005|507 Patterson Ave|150990.0|2018-10-29T00:00:00|[{'type': 'Point', 'coordinates': [-73.120436, 41.204671]}]|row-d8t8~g2up.cnav|2018|||Residential||Single Family|214000.0|0.7055|180110|Stratford
870006|422 Emmett St Un G|48020.0|2018-10-29T00:00:00||row-cfnf-32nq-pzqk|2018|||Residential||Condo|53000.0|0.906|180081|Bristol
870007|60 Walnut Street|85200.0|2018-11-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.53264, 41.770099]}]|row-6phn-29mt~qcw9|2018|14 - Foreclosure|Purchase of foreclosed property per mls|Residential||Single Family|75000.0|1.136|180106|Manchester
870008|100 Camden St|119240.0|2018-11-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.100983, 41.206589]}]|row-ytgj-fmua-cuby|2018|25 - Other||Residential|Low sale for neighborhood|Single Family|125000.0|0.9539|180429|Milford
870009|143 Pine Hill Rd 11D|75250.0|2018-10-24T00:00:00|[{'type': 'Point', 'coordinates': [-73.083948, 41.657208]}]|row-j2h3-sjgq.d4zc|2018|||Residential||Condo|113000.0|0.6659|180012|Thomaston
870010|212 Gilbert Ave|94080.0|2018-10-24T00:00:00|[{'type': 'Point', 'coordinates': [-73.057391, 41.926842]}]|row-kbe4-phd4~qk69|2018|14 - Foreclosure||Residential|Sale of foreclosure|Single Family|38000.0|2.475789|180029|Winchester
870011|21 Wilcox Manor|123300.0|2018-10-26T00:00:00||row-u7bx-u65d-8gz7|2018|||Residential||Single Family|175000.0|0.7045|180043|Stonington
870012|14 Macarthur Rd|190540.0|2018-10-26T00:00:00|[{'type': 'Point', 'coordinates': [-73.209937, 41.24167]}]|row-ujev-2kss-his6|2018|||Residential||Single Family|290000.0|0.657|180042|Trumbull
870013|60 Newgate Rd|399600.0|2018-10-26T00:00:00|[{'type': 'Point', 'coordinates': [-73.172101, 41.42135]}]|row-5say-xh59-mmtn|2018|||Residential||Single Family|455000.0|0.8782|180019|Oxford
870014|64 Mariani Dr|55130.0|2018-10-22T00:00:00||row-7dz8~6fkg-8qk8|2018|25 - Other|Multiple parcel sale|Vacant Land|Other||185000.0|0.298|180049|Southington
870015|32 Mattatuck Ave|87650.0|2018-10-22T00:00:00|[{'type': 'Point', 'coordinates': [-72.956174, 41.556887]}]|row-s8wb-zw52.ttd5|2018|14 - Foreclosure||Residential|Foreclosure by sale: includes separate non buildable lot|Single Family|70200.0|1.2485|1800015|Wolcott
870016|6 Hillside Lane|227720.0|2018-10-25T00:00:00|[{'type': 'Point', 'coordinates': [-73.311484, 41.410888]}]|row-h9nh.g5i7.c767|2018|||Residential||Single Family|370000.0|0.6154|18036|Newtown
870017|5 Woods Way Unit 3-A|407900.0|2018-10-25T00:00:00|[{'type': 'Point', 'coordinates': [-73.42609, 41.259927]}]|row-r97q~h2zz-3g36|2018|||Residential||Condo|500000.0|0.8158|18160171|Redding
870018|140-144 Hawley Ave|132770.0|2018-10-31T00:00:00|[{'type': 'Point', 'coordinates': [-73.200028, 41.20101]}]|row-txvb-jq7v.xfm9|2018|||Residential||Three Family|225500.0|0.5887|180205|Bridgeport
870019|4 Windswept La|330240.0|2018-10-31T00:00:00||row-f3d5~s6hg~z7yd|2018|||Residential|New construction|Single Family|519995.0|0.635083|18040|Farmington
870020|419 Route 148|258500.0|2018-10-26T00:00:00|[{'type': 'Point', 'coordinates': [-72.596625, 41.387826]}]|row-j4ne~yy6y~x2yq|2018|||Residential||Single Family|337500.0|0.7659|180009|Killingworth
870021|265 Glendale Ave Unit E1|43930.0|2018-10-26T00:00:00|[{'type': 'Point', 'coordinates': [-73.2165, 41.213075]}]|row-3ky7-vze8~uyyp|2018|||Residential||Condo|85000.0|0.5168|180167|Bridgeport
870022|15 Taddei Ct|201760.0|2018-10-24T00:00:00||row-u588.69ps.4m8n|2018|||Residential||Single Family|310000.0|0.6508|18019|Montville
870023|1216 West Main Street|140140.0|2018-10-24T00:00:00|[{'type': 'Point', 'coordinates': [-72.841006, 41.550931]}]|row-2fjd.2s63-gjna|2018|||Residential||Single Family|246900.0|0.5675|180059|Meriden
870024|19 Fawn Hill Drive|251860.0|2018-10-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.943, 41.781611]}]|row-pgqm-q85i~kd9v|2018|||Residential||Single Family|374000.0|0.6734|18020|Burlington
870025|48 Saw Mill Road|410.0|2018-10-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.987165, 41.761132]}]|row-y3tc-3x5c-n83g|2018|03 - Inter Corporation||Vacant Land|Intercorp sale||110000.0|0.003727|18018|Burlington
870026|23 Laurels B03Ud|124180.0|2018-11-14T00:00:00||row-z6q7.8ct8.gs9t|2018|||Residential||Condo|189000.0|0.657|180097|Enfield
870027|105 George St|94600.0|2018-11-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.870222, 41.250913]}]|row-2pgm-83gt-5273|2018|08 - Part Interest||Residential||Single Family|23500.0|4.0255|1800084|East Haven
870028|11 Miamis Road|157080.0|2018-11-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.732548, 41.787254]}]|row-r7t7-jeqk-3bfe|2018|||Residential||Single Family|250000.0|0.6283|180106|West Hartford
870029|8 Chimney Point|864780.0|2018-10-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.440876, 41.502707]}]|row-iffj-hb5i-cmu7|2018|||Residential||Single Family|1375000.0|0.6289|1800063|New Milford
870030|4 Peach Farm Rd|167300.0|2018-10-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.11076, 41.397893]}]|row-fg9t-ajit-qd7v|2018|25 - Other||Residential|Vacant estate sale|Single Family|210000.0|0.7966|180020|Oxford
870031|61 Westminster Rd|175900.0|2018-11-07T00:00:00|[{'type': 'Point', 'coordinates': [-71.978478, 41.697536]}]|row-ucev~6yvr-w7mq|2018|25 - Other||Residential|Not sure, sent letter|Single Family|219550.0|0.8011|180011|Canterbury
870032|104 White Birch Dr|119720.0|2018-11-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.074671, 41.569341]}]|row-s2if~hapw-9mwd|2018|||Residential||Single Family|199000.0|0.6016|180211|Waterbury
870033|1 Linden Pl #505|53865.0|2018-10-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.675054, 41.761472]}]|row-j354-5qxn~cqat|2018|||Residential||Condo|211000.0|0.2552|18075|Hartford
870034|7 Quaker La|114280.0|2018-10-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.570304, 41.947044]}]|row-2zws-qn4j~kfng|2018|07 - Change In Property||Residential||Single Family|190000.0|0.6014|180072|Enfield
870035|16 John St|184870.0|2018-10-31T00:00:00||row-tp6v-tzi4.47z4|2018|||Residential||Single Family|325000.0|0.5688|18023|Derby
870036|12 Putnam Lane|18200.0|2018-10-31T00:00:00|[{'type': 'Point', 'coordinates': [-73.434454, 41.380433]}]|row-jd3q-8wdt-ftpb|2018|07 - Change In Property||Residential|New construction / b15004-74|Condo|421624.0|0.0431|180145|Danbury
870037|27 Soby Drive|365540.0|2018-11-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.769813, 41.765805]}]|row-ursp-eqsk~fxyb|2018|||Residential||Single Family|523000.0|0.6989|180081|West Hartford
870038|75 Longmeadow Dr|95600.0|2018-11-01T00:00:00||row-yis8.i73c~q9vc|2018|07 - Change In Property||Residential|New construction|Single Family|598398.0|0.15976|180049|South Windsor
870039|11 Platt Dr|218410.0|2018-11-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.990582, 41.491808]}]|row-wska-cs3w.e6kq|2018|||Residential||Single Family|318000.0|0.6868|180043|Prospect
870040|295 Erskine Road|552600.0|2018-11-19T00:00:00|[{'type': 'Point', 'coordinates': [-73.600126, 41.145837]}]|row-kzgb-uqdk-4d5k|2018|||Residential||Single Family|775000.0|0.713|1800237|Stamford
870041|759 Hopewell Rd|181100.0|2018-11-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.575069, 41.668992]}]|row-j3up-4w6z-fjkz|2018|06 - Portion Of Property||Residential|Lot line adjustment/split|Single Family|250000.0|0.7244|180073|Glastonbury
