|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
70000|471 Whalley Ave Ut F|28910.0|2003-04-21T00:00:00||row-ujkc-8dta-7cz8|2002|||R|||40000.0|0.72275|21098|New Haven
70001|316 Goose Ln|60590.0|2003-04-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.347271, 41.839574]}]|row-nihb-6zqe.g3ci|2002|||V|||120000.0|0.504917|20166|Tolland
70002|68 Perry St Ut 127|55000.0|2003-04-21T00:00:00|[{'type': 'Point', 'coordinates': [-71.89743, 41.912765]}]|row-c94y~zrxv~8pua|2002|||R|||115000.0|0.478261|20121|Putnam
70003|3 Brook Trl|78800.0|2003-05-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.491759, 41.596327]}]|row-2uim-4k64-iyvd|2002|14||R|||84000.0|0.938095|20197|East Hampton
70004|57 Parker Pl B401|40500.0|2003-05-06T00:00:00||row-vg5z.idia.yaae|2002|||R|||75000.0|0.54|20525|Wallingford
70005|220 Kennedy Rd|77210.0|2002-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.637563, 41.868532]}]|row-dp87-4ez6-ysmm|2002|1||R|||10000.0|7.721|20192|Windsor
70006|220 Kennedy Rd|77210.0|2002-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.637563, 41.868532]}]|row-4ef4~q8xs~er5v|2002|1||R|||10000.0|7.721|20193|Windsor
70007|102 Sherry Ln|153930.0|2003-04-01T00:00:00||row-cipw-6uh6-n2ur|2002|||R|||195000.0|0.789385|20406|New Milford
70008|328 Merrow Rd|105840.0|2003-04-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.320527, 41.819988]}]|row-5xvm-5wxr~3r2x|2002|||R|||192500.0|0.549818|20150|Coventry
70009|41B Patricia Rd|48020.0|2003-04-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.226946, 41.216727]}]|row-ffs6-88pg-5weg|2002|||R|||146900.0|0.326889|21558|Bridgeport
70010|19 Holdridge Ct|129010.0|2003-02-25T00:00:00||row-k2qc-623a-8rrh|2002|||V|||135000.0|0.95563|20280|Groton
70011|12 Meadow Wood Dr|90930.0|2003-02-25T00:00:00|[{'type': 'Point', 'coordinates': [-71.892817, 41.440595]}]|row-cutt-86sm-gacg|2002|||R|||130000.0|0.699462|20048|North Stonington
70012|1460 Meriden Ave|123620.0|2003-02-25T00:00:00|[{'type': 'Point', 'coordinates': [-72.852792, 41.563366]}]|row-q4zz.4cjs.5ywa|2002|14||R|||158900.0|0.777974|20367|Southington
70013|70 Lovell Ave|65590.0|2003-03-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.650644, 41.825323]}]|row-bwhk.e6bz-d5et|2002|||R|||164000.0|0.399939|20301|Windsor
70014|7 Fyler Dr|68810.0|2003-03-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.658257, 41.840218]}]|row-ztdf-gwup-ea83|2002|14||R|||128000.0|0.537578|20296|Windsor
70015|46 Hearthstone Dr|204710.0|2003-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-73.376501, 41.484884]}]|row-qsbt~hsau.cyjj|2002|||R|||335000.0|0.611075|20107|Brookfield
70016|612 Cedar Swamp Rd|84490.0|2003-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.415802, 41.813492]}]|row-mk6g-r896~xfs3|2002|||R|||123000.0|0.686911|20080|Coventry
70017|23 Woodland Trl|17160.0|2003-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.55875, 41.374015]}]|row-9re3-8aqn-9xpk|2002|||R|||30000.0|0.572|20057|Killingworth
