,EIENDOM_ID,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,AREAL,BRUKSNAVN,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
40000,15400939,3031,NITTEDAL,3,364,0,0,1,BEST. GRUNNEIENDOM,1394.5,,548460383,Ilabakken,6420.0,16.0,,,1481,HAGAN
40001,15400937,3031,NITTEDAL,3,362,0,0,1,BEST. GRUNNEIENDOM,1448.8,TOMT 7 _H,15486066,Furukroken,4150.0,5.0,,,1481,HAGAN
40002,15400942,3031,NITTEDAL,3,367,0,0,1,BEST. GRUNNEIENDOM,2689.7,TOMT 13 A-E,15487537,Industriveien,6550.0,9.0,,,1481,HAGAN
40003,15400943,3031,NITTEDAL,3,368,0,0,1,BEST. GRUNNEIENDOM,2726.0,TOMT 13 B-1,15487535,Industriveien,6550.0,7.0,,,1481,HAGAN
40004,15400941,3031,NITTEDAL,3,366,0,0,1,BEST. GRUNNEIENDOM,11673.8,TOMT 4 A-E,15485550,Brennaveien,2750.0,12.0,,,1481,HAGAN
40005,15400931,3031,NITTEDAL,3,356,0,0,1,BEST. GRUNNEIENDOM,4902.8,TOMT 10 -E.,15487531,Industriveien,6550.0,1.0,,,1481,HAGAN
40006,15400929,3031,NITTEDAL,3,354,0,0,1,BEST. GRUNNEIENDOM,1092.0,BJERKETUN,15487523,Ilaveien,6500.0,5.0,,,1481,HAGAN
40007,15400932,3031,NITTEDAL,3,357,0,0,1,BEST. GRUNNEIENDOM,869.8,KASA,15487525,Ilaveien,6500.0,7.0,,,1481,HAGAN
40008,15400954,3031,NITTEDAL,3,379,0,0,1,BEST. GRUNNEIENDOM,638.7,,15488174,Krokveien,7600.0,2.0,B,,1481,HAGAN
40009,15400955,3031,NITTEDAL,3,380,0,0,1,BEST. GRUNNEIENDOM,420.9,,15487524,Ilaveien,6500.0,6.0,,,1481,HAGAN
40010,15400952,3031,NITTEDAL,3,377,0,0,1,BEST. GRUNNEIENDOM,884.4,,15487678,Karusveien,6700.0,8.0,,,1481,HAGAN
40011,15400959,3031,NITTEDAL,3,384,0,0,1,BEST. GRUNNEIENDOM,609.3,,15486435,Gjelleråsveien,4440.0,10.0,,,1481,HAGAN
40012,15400957,3031,NITTEDAL,3,382,0,0,1,BEST. GRUNNEIENDOM,525.5,,15488178,Krokveien,7600.0,5.0,B,,1481,HAGAN
40013,15400946,3031,NITTEDAL,3,371,0,0,1,BEST. GRUNNEIENDOM,1211.1,TOMT 1-P,15486079,Furulia,4170.0,2.0,,,1481,HAGAN
40014,15400947,3031,NITTEDAL,3,372,0,0,1,BEST. GRUNNEIENDOM,1389.1,"""TOMT 4-P""",15486078,Furulia,4170.0,1.0,,,1481,HAGAN
40015,15400944,3031,NITTEDAL,3,369,0,0,1,BEST. GRUNNEIENDOM,2342.9,TOMT 18 A-E,15487547,Industriveien,6550.0,19.0,,,1481,HAGAN
40016,15400945,3031,NITTEDAL,3,370,0,0,1,BEST. GRUNNEIENDOM,2134.1,TOMT 18 B-E,15489108,Masteveien,8650.0,3.0,,,1481,HAGAN
40017,15400951,3031,NITTEDAL,3,376,0,0,1,BEST. GRUNNEIENDOM,878.7,TOMT 17 -H,15486076,Furukroken,4150.0,23.0,,,1481,HAGAN
40018,15400948,3031,NITTEDAL,3,373,0,0,1,BEST. GRUNNEIENDOM,844.8,"""TOMT 3-H""",15486067,Furukroken,4150.0,6.0,B,,1481,HAGAN
40019,15400948,3031,NITTEDAL,3,373,0,0,1,BEST. GRUNNEIENDOM,844.8,"""TOMT 3-H""",119676249,Furukroken,4150.0,6.0,A,,1481,HAGAN
40020,15400949,3031,NITTEDAL,3,374,0,0,1,BEST. GRUNNEIENDOM,1264.3,,15492605,Steinbråten,13920.0,9.0,,,1481,HAGAN
40021,15400906,3031,NITTEDAL,3,331,0,0,1,BEST. GRUNNEIENDOM,9139.6,TOMT 15 - E,15487541,Industriveien,6550.0,13.0,,,1481,HAGAN
40022,15400907,3031,NITTEDAL,3,332,0,0,1,BEST. GRUNNEIENDOM,9396.7,TOMT 16 - E,15487543,Industriveien,6550.0,15.0,,,1481,HAGAN
40023,15400904,3031,NITTEDAL,3,329,0,0,1,BEST. GRUNNEIENDOM,6217.5,TOMT 12 - E,15487534,Industriveien,6550.0,5.0,,,1481,HAGAN
40024,15400905,3031,NITTEDAL,3,330,0,0,1,BEST. GRUNNEIENDOM,9447.6,TOMT 14 - E,15487539,Industriveien,6550.0,11.0,,,1481,HAGAN
40025,15400910,3031,NITTEDAL,3,335,0,0,1,BEST. GRUNNEIENDOM,4128.0,TOMT 21 - E,15489111,Masteveien,8650.0,8.0,,,1481,HAGAN
40026,15400911,3031,NITTEDAL,3,336,0,0,1,BEST. GRUNNEIENDOM,6776.9,TOMT 22 - E,15489110,Masteveien,8650.0,6.0,,,1481,HAGAN
40027,15400911,3031,NITTEDAL,3,336,0,0,1,BEST. GRUNNEIENDOM,6776.9,TOMT 22 - E,486757413,Masteveien,8650.0,6.0,B,,1481,HAGAN
40028,15400908,3031,NITTEDAL,3,333,0,0,1,BEST. GRUNNEIENDOM,2530.4,TOMT 17 - E,15487545,Industriveien,6550.0,17.0,,,1481,HAGAN
40029,15400909,3031,NITTEDAL,3,334,0,0,1,BEST. GRUNNEIENDOM,4591.6,TOMT 20 - E,15489112,Masteveien,8650.0,10.0,,,1481,HAGAN
40030,15400898,3031,NITTEDAL,3,323,0,0,1,BEST. GRUNNEIENDOM,748.1,BERGBO,15492602,Steinbråten,13920.0,6.0,,,1481,HAGAN
40031,15400899,3031,NITTEDAL,3,324,0,0,1,BEST. GRUNNEIENDOM,907.4,GRANBO,15492604,Steinbråten,13920.0,8.0,,,1481,HAGAN
40032,15400896,3031,NITTEDAL,3,321,0,0,1,BEST. GRUNNEIENDOM,2090.0,TOMT 7 - E,15487538,Industriveien,6550.0,10.0,B,,1481,HAGAN
40033,15400897,3031,NITTEDAL,3,322,0,0,1,BEST. GRUNNEIENDOM,747.9,BEKKELY,15486445,Glenneveien,4500.0,12.0,,,1481,HAGAN
40034,15400902,3031,NITTEDAL,3,327,0,0,1,BEST. GRUNNEIENDOM,15431.9,TOMT 5A - E,15485553,Brennaveien,2750.0,18.0,,,1481,HAGAN
40035,15400903,3031,NITTEDAL,3,328,0,0,1,BEST. GRUNNEIENDOM,2272.5,TOMT 11 - E,15487533,Industriveien,6550.0,3.0,,,1481,HAGAN
40036,15400900,3031,NITTEDAL,3,325,0,0,1,BEST. GRUNNEIENDOM,852.6,LEKEN,15492608,Steinbråten,13920.0,14.0,,,1481,HAGAN
40037,15400901,3031,NITTEDAL,3,326,0,0,1,BEST. GRUNNEIENDOM,707.0,KNATTEN,15492606,Steinbråten,13920.0,10.0,,,1481,HAGAN
40038,15400922,3031,NITTEDAL,3,347,0,0,1,BEST. GRUNNEIENDOM,861.3,TOMT 7 P,15486085,Furulia,4170.0,9.0,,,1481,HAGAN
40039,15400923,3031,NITTEDAL,3,348,0,0,1,BEST. GRUNNEIENDOM,975.2,TOMT 8 P,15486084,Furulia,4170.0,7.0,,,1481,HAGAN
40040,15400920,3031,NITTEDAL,3,345,0,0,1,BEST. GRUNNEIENDOM,1019.1,TOMT 5 P,15486080,Furulia,4170.0,3.0,,,1481,HAGAN
40041,15400921,3031,NITTEDAL,3,346,0,0,1,BEST. GRUNNEIENDOM,1031.4,TOMT 6 P,15486082,Furulia,4170.0,5.0,,,1481,HAGAN
40042,15400926,3031,NITTEDAL,3,351,0,0,1,BEST. GRUNNEIENDOM,964.4,TOMT 16 H,15486077,Furukroken,4150.0,25.0,,,1481,HAGAN
40043,15400927,3031,NITTEDAL,3,352,0,0,1,BEST. GRUNNEIENDOM,832.7,HAGELY,15488184,Krokveien,7600.0,17.0,,,1481,HAGAN
40044,15400924,3031,NITTEDAL,3,349,0,0,1,BEST. GRUNNEIENDOM,1040.4,CHILABO,15488183,Krokveien,7600.0,15.0,,,1481,HAGAN
40045,15400925,3031,NITTEDAL,3,350,0,0,1,BEST. GRUNNEIENDOM,1014.0,TOMT II H,15486073,Furukroken,4150.0,17.0,,,1481,HAGAN
40046,15400914,3031,NITTEDAL,3,339,0,0,1,BEST. GRUNNEIENDOM,8995.3,TOMT 4 E,15485552,Brennaveien,2750.0,16.0,,,1481,HAGAN
40047,15400915,3031,NITTEDAL,3,340,0,0,1,BEST. GRUNNEIENDOM,7233.6,TOMT 6 E,15487536,Industriveien,6550.0,8.0,,,1481,HAGAN
40048,15400912,3031,NITTEDAL,3,337,0,0,1,BEST. GRUNNEIENDOM,1148.4,SKOGHEIM II,15487529,Ilaveien,6500.0,14.0,,,1481,HAGAN
40049,15400918,3031,NITTEDAL,3,343,0,0,1,BEST. GRUNNEIENDOM,932.9,TOMT 2 - P.,15486081,Furulia,4170.0,4.0,,,1481,HAGAN
40050,15400919,3031,NITTEDAL,3,344,0,0,1,BEST. GRUNNEIENDOM,948.7,TOMT 3 P,15486083,Furulia,4170.0,6.0,,,1481,HAGAN
40051,15400916,3031,NITTEDAL,3,341,0,0,1,BEST. GRUNNEIENDOM,4283.1,TOMT 8 E,15487540,Industriveien,6550.0,12.0,,,1481,HAGAN
40052,15400917,3031,NITTEDAL,3,342,0,0,1,BEST. GRUNNEIENDOM,11505.9,TOMT 9 E,15487542,Industriveien,6550.0,14.0,,,1481,HAGAN
40053,15400874,3031,NITTEDAL,3,299,0,0,1,BEST. GRUNNEIENDOM,818.1,EKHOLDT,15485950,Fjellstubben,3600.0,7.0,,,1481,HAGAN
40054,15400873,3031,NITTEDAL,3,298,0,0,1,BEST. GRUNNEIENDOM,943.7,LIA,15498621,Glenneveien,4500.0,52.0,A,,1481,HAGAN
40055,15400873,3031,NITTEDAL,3,298,0,0,1,BEST. GRUNNEIENDOM,943.7,LIA,15498622,Glenneveien,4500.0,52.0,B,,1481,HAGAN
40056,15400871,3031,NITTEDAL,3,296,0,0,1,BEST. GRUNNEIENDOM,1129.8,FJELLHØI III,15485952,Fjellstubben,3600.0,9.0,B,,1481,HAGAN
40057,15400891,3031,NITTEDAL,3,316,0,0,1,BEST. GRUNNEIENDOM,747.9,GRANLIA,15486074,Furukroken,4150.0,19.0,,,1481,HAGAN
40058,15400893,3031,NITTEDAL,3,318,0,0,1,BEST. GRUNNEIENDOM,948.8,LEKEPLASS,15497579,Carl Bergersens vei,3100.0,18.0,,,1481,HAGAN
40059,15400882,3031,NITTEDAL,3,307,0,0,1,BEST. GRUNNEIENDOM,1166.8,TOMT 4 - H,15486064,Furukroken,4150.0,1.0,,,1481,HAGAN
40060,15400883,3031,NITTEDAL,3,308,0,0,1,BEST. GRUNNEIENDOM,1124.2,TOMT 10 - H,15499185,Furukroken,4150.0,15.0,A,,1481,HAGAN
40061,15400883,3031,NITTEDAL,3,308,0,0,1,BEST. GRUNNEIENDOM,1124.2,TOMT 10 - H,15499186,Furukroken,4150.0,15.0,B,,1481,HAGAN
40062,15400880,3031,NITTEDAL,3,305,0,0,1,BEST. GRUNNEIENDOM,1357.0,FJELLRABBEN,15485945,Fjellstubben,3600.0,3.0,A,,1481,HAGAN
40063,15400880,3031,NITTEDAL,3,305,0,0,1,BEST. GRUNNEIENDOM,1357.0,FJELLRABBEN,6286744881,Fjellstubben,3600.0,3.0,B,,1481,HAGAN
40064,15400881,3031,NITTEDAL,3,306,0,0,1,BEST. GRUNNEIENDOM,1265.4,SKRENTEN,15485947,Fjellstubben,3600.0,5.0,A,,1481,HAGAN
40065,15400884,3031,NITTEDAL,3,309,0,0,1,BEST. GRUNNEIENDOM,952.1,TOMT 14 - H,15486068,Furukroken,4150.0,8.0,,,1481,HAGAN
40066,15400885,3031,NITTEDAL,3,310,0,0,1,BEST. GRUNNEIENDOM,1008.1,TOMT 15 - H,15486070,Furukroken,4150.0,10.0,,,1481,HAGAN
40067,15400841,3031,NITTEDAL,3,266,0,0,1,BEST. GRUNNEIENDOM,1051.3,STENBRÅTEN 1,15492598,Steinbråten,13920.0,1.0,,,1481,HAGAN
40068,15400846,3031,NITTEDAL,3,271,0,0,1,BEST. GRUNNEIENDOM,1273.5,TOPPEN,15495089,Glenneveien,4500.0,24.0,,,1481,HAGAN
40069,15400847,3031,NITTEDAL,3,272,0,0,1,BEST. GRUNNEIENDOM,1047.4,SKAUGTUN,15486468,Glenneveien,4500.0,56.0,,,1481,HAGAN
40070,15400834,3031,NITTEDAL,3,261,0,166,5,BEST. EIERSEKSJON,0.0,"SEKSJON 166, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40071,15400835,3031,NITTEDAL,3,261,0,167,5,BEST. EIERSEKSJON,0.0,"SEKSJON 167, ANDEL 248/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40072,15400832,3031,NITTEDAL,3,261,0,164,5,BEST. EIERSEKSJON,0.0,"SEKSJON 164, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40073,15400833,3031,NITTEDAL,3,261,0,165,5,BEST. EIERSEKSJON,0.0,"SEKSJON 165, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40074,15400838,3031,NITTEDAL,3,263,0,0,1,BEST. GRUNNEIENDOM,1092.3,SKOGSNIPPEN,15486438,Glenneveien,4500.0,5.0,,,1481,HAGAN
40075,15400839,3031,NITTEDAL,3,264,0,0,1,BEST. GRUNNEIENDOM,512.5,JERICO,15486439,Glenneveien,4500.0,6.0,A,,1481,HAGAN
40076,15400836,3031,NITTEDAL,3,261,0,168,5,BEST. EIERSEKSJON,0.0,"SEKSJON 168, ANDEL 264/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40077,15400837,3031,NITTEDAL,3,262,0,0,1,BEST. GRUNNEIENDOM,1356.9,SKOGVOLD,15487110,Hellinga,5900.0,32.0,,,1481,HAGAN
40078,15400837,3031,NITTEDAL,3,262,0,0,1,BEST. GRUNNEIENDOM,1356.9,SKOGVOLD,506231602,Hellinga,5900.0,32.0,B,,1481,HAGAN
40079,15400858,3031,NITTEDAL,3,283,0,0,1,BEST. GRUNNEIENDOM,883.7,SOL-LY,15486179,Gjelleråsveien,4440.0,6.0,A,,1481,HAGAN
40080,15400859,3031,NITTEDAL,3,284,0,0,1,BEST. GRUNNEIENDOM,630.8,ENG,15486440,Glenneveien,4500.0,6.0,B,,1481,HAGAN
40081,15400863,3031,NITTEDAL,3,288,0,0,1,BEST. GRUNNEIENDOM,829.1,PYNTEN,15492600,Steinbråten,13920.0,4.0,,,1481,HAGAN
40082,15400863,3031,NITTEDAL,3,288,0,0,1,BEST. GRUNNEIENDOM,829.1,PYNTEN,108861831,Steinbråten,13920.0,2.0,,,1481,HAGAN
40083,15400860,3031,NITTEDAL,3,285,0,0,1,BEST. GRUNNEIENDOM,797.1,FJELLHØY II,15485955,Fjellstubben,3600.0,13.0,B,,1481,HAGAN
40084,15400861,3031,NITTEDAL,3,286,0,0,1,BEST. GRUNNEIENDOM,586.2,LYKKEBERG II,15485957,Fjellstubben,3600.0,15.0,B,,1481,HAGAN
40085,15400850,3031,NITTEDAL,3,275,0,0,1,BEST. GRUNNEIENDOM,697.9,FURULY,15492601,Steinbråten,13920.0,5.0,,,1481,HAGAN
40086,15400851,3031,NITTEDAL,3,276,0,0,1,BEST. GRUNNEIENDOM,858.9,STEINBU,15492603,Steinbråten,13920.0,7.0,,,1481,HAGAN
40087,15400848,3031,NITTEDAL,3,273,0,0,1,BEST. GRUNNEIENDOM,833.0,SKAUKROKEN,15486437,Glenneveien,4500.0,4.0,,,1481,HAGAN
40088,15400849,3031,NITTEDAL,3,274,0,0,1,BEST. GRUNNEIENDOM,751.0,GRANHEIM,15492599,Steinbråten,13920.0,3.0,,,1481,HAGAN
40089,15400854,3031,NITTEDAL,3,279,0,0,1,BEST. GRUNNEIENDOM,911.3,TIRILLTOPPEN,15487627,Karushøgda,6600.0,11.0,,,1481,HAGAN
40090,15400855,3031,NITTEDAL,3,280,0,0,1,BEST. GRUNNEIENDOM,1341.1,SLETTA,15498094,Ospelia,9840.0,18.0,,,1481,HAGAN
40091,15400853,3031,NITTEDAL,3,278,0,0,1,BEST. GRUNNEIENDOM,720.9,FURURABBEN,15487625,Karushøgda,6600.0,9.0,,,1481,HAGAN
40092,15400810,3031,NITTEDAL,3,261,0,142,5,BEST. EIERSEKSJON,0.0,"SEKSJON 142, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40093,15400811,3031,NITTEDAL,3,261,0,143,5,BEST. EIERSEKSJON,0.0,"SEKSJON 143, ANDEL 248/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40094,15400808,3031,NITTEDAL,3,261,0,140,5,BEST. EIERSEKSJON,0.0,"SEKSJON 140, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40095,15400809,3031,NITTEDAL,3,261,0,141,5,BEST. EIERSEKSJON,0.0,"SEKSJON 141, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40096,15400814,3031,NITTEDAL,3,261,0,146,5,BEST. EIERSEKSJON,0.0,"SEKSJON 146, ANDEL 248/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40097,15400815,3031,NITTEDAL,3,261,0,147,5,BEST. EIERSEKSJON,0.0,SEKSJON 147,15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40098,15400812,3031,NITTEDAL,3,261,0,144,5,BEST. EIERSEKSJON,0.0,"SEKSJON 144, ANDEL 264/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40099,15400813,3031,NITTEDAL,3,261,0,145,5,BEST. EIERSEKSJON,0.0,"SEKSJON 145, ANDEL 264/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40100,15400802,3031,NITTEDAL,3,261,0,134,5,BEST. EIERSEKSJON,0.0,"SEKSJON 134, ANDEL 248/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40101,15400803,3031,NITTEDAL,3,261,0,135,5,BEST. EIERSEKSJON,0.0,"SEKSJON 135, ANDEL 248/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40102,15400800,3031,NITTEDAL,3,261,0,132,5,BEST. EIERSEKSJON,0.0,"SEKSJON 132, ANDEL 264/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40103,15400801,3031,NITTEDAL,3,261,0,133,5,BEST. EIERSEKSJON,0.0,"SEKSJON 133, ANDEL 264/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40104,15400806,3031,NITTEDAL,3,261,0,138,5,BEST. EIERSEKSJON,0.0,"SEKSJON 138, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40105,15400807,3031,NITTEDAL,3,261,0,139,5,BEST. EIERSEKSJON,0.0,"SEKSJON 139, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40106,15400804,3031,NITTEDAL,3,261,0,136,5,BEST. EIERSEKSJON,0.0,"SEKSJON 136, ANDEL 248/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40107,15400805,3031,NITTEDAL,3,261,0,137,5,BEST. EIERSEKSJON,0.0,"SEKSJON 137, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40108,15400826,3031,NITTEDAL,3,261,0,158,5,BEST. EIERSEKSJON,0.0,"SEKSJON 158, ANDEL 248/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40109,15400827,3031,NITTEDAL,3,261,0,159,5,BEST. EIERSEKSJON,0.0,"SEKSJON 159, ANDEL 248/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40110,15400824,3031,NITTEDAL,3,261,0,156,5,BEST. EIERSEKSJON,0.0,"SEKSJON 156, ANDEL 264/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40111,15400825,3031,NITTEDAL,3,261,0,157,5,BEST. EIERSEKSJON,0.0,"SEKSJON 157, ANDEL 264/36401",15491488,Skysetveien,12600.0,5.0,F,,1481,HAGAN
40112,15400830,3031,NITTEDAL,3,261,0,162,5,BEST. EIERSEKSJON,0.0,"SEKSJON 162, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40113,15400831,3031,NITTEDAL,3,261,0,163,5,BEST. EIERSEKSJON,0.0,"SEKSJON 163, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40114,15400828,3031,NITTEDAL,3,261,0,160,5,BEST. EIERSEKSJON,0.0,"SEKSJON 160, ANDEL 248/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40115,15400829,3031,NITTEDAL,3,261,0,161,5,BEST. EIERSEKSJON,0.0,"SEKSJON 161, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40116,15400818,3031,NITTEDAL,3,261,0,150,5,BEST. EIERSEKSJON,0.0,"SEKSJON 150, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40117,15400819,3031,NITTEDAL,3,261,0,151,5,BEST. EIERSEKSJON,0.0,"SEKSJON 151, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40118,15400816,3031,NITTEDAL,3,261,0,148,5,BEST. EIERSEKSJON,0.0,"SEKSJON 148, ANDEL 248/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40119,15400817,3031,NITTEDAL,3,261,0,149,5,BEST. EIERSEKSJON,0.0,"SEKSJON 149, ANDEL 248/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40120,15400822,3031,NITTEDAL,3,261,0,154,5,BEST. EIERSEKSJON,0.0,"SEKSJON 154, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40121,15400823,3031,NITTEDAL,3,261,0,155,5,BEST. EIERSEKSJON,0.0,"SEKSJON 155, ANDEL 248/36401",15491483,Skysetveien,12600.0,5.0,A,,1481,HAGAN
40122,15400820,3031,NITTEDAL,3,261,0,152,5,BEST. EIERSEKSJON,0.0,"SEKSJON 152, ANDEL 248/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
40123,15400821,3031,NITTEDAL,3,261,0,153,5,BEST. EIERSEKSJON,0.0,"SEKSJON 153, ANDEL 248/36401",15491484,Skysetveien,12600.0,5.0,B,,1481,HAGAN
40124,15400778,3031,NITTEDAL,3,261,0,110,5,BEST. EIERSEKSJON,0.0,"SEKSJON 110, ANDEL 194/36401",15491479,Skysetveien,12600.0,3.0,A,,1481,HAGAN
40125,15400779,3031,NITTEDAL,3,261,0,111,5,BEST. EIERSEKSJON,0.0,"SEKSJON 111, ANDEL 148/36401",15491487,Skysetveien,12600.0,5.0,E,,1481,HAGAN
40126,15400776,3031,NITTEDAL,3,261,0,108,5,BEST. EIERSEKSJON,0.0,"SEKSJON 108, ANDEL 194/36401",15491480,Skysetveien,12600.0,3.0,B,,1481,HAGAN
40127,15400777,3031,NITTEDAL,3,261,0,109,5,BEST. EIERSEKSJON,0.0,"SEKSJON 109, ANDEL 194/36401",15491479,Skysetveien,12600.0,3.0,A,,1481,HAGAN
40128,15400782,3031,NITTEDAL,3,261,0,114,5,BEST. EIERSEKSJON,0.0,"SEKSJON 114, ANDEL 160/36401",15491486,Skysetveien,12600.0,5.0,D,,1481,HAGAN
40129,15400783,3031,NITTEDAL,3,261,0,115,5,BEST. EIERSEKSJON,0.0,"SEKSJON 115, ANDEL 148/36401",15491485,Skysetveien,12600.0,5.0,C,,1481,HAGAN
