,EIENDOM_ID,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,AREAL,BRUKSNAVN,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
2040000,232775429,4203,ARENDAL,430,53,0,0,1,BEST. GRUNNEIENDOM,17998.9,HAVSJÅ,429739257,Flageborgveien,42950.0,179.0,,,4823,NEDENES
2040001,232775428,4203,ARENDAL,430,52,0,0,1,BEST. GRUNNEIENDOM,17998.9,HAVSJÅ,429739257,Flageborgveien,42950.0,179.0,,,4823,NEDENES
2040002,232775424,4203,ARENDAL,430,48,0,0,1,BEST. GRUNNEIENDOM,3301.7,CHRISTENSHAUG,441555588,Røed,48865.0,23.0,,,4823,NEDENES
2040003,232775487,4203,ARENDAL,430,111,0,0,1,BEST. GRUNNEIENDOM,2946.6,BARLINDDALEN,429739256,Flageborgveien,42950.0,176.0,,,4823,NEDENES
2040004,232775486,4203,ARENDAL,430,110,0,0,1,BEST. GRUNNEIENDOM,4520.1,BARLINDDALEN,429739255,Flageborgveien,42950.0,174.0,,,4823,NEDENES
2040005,232775486,4203,ARENDAL,430,110,0,0,1,BEST. GRUNNEIENDOM,4520.1,BARLINDDALEN,429739254,Flageborgveien,42950.0,172.0,,,4823,NEDENES
2040006,232775482,4203,ARENDAL,430,106,0,0,1,BEST. GRUNNEIENDOM,953.0,ELVEBAKKEN,233102872,Røedstien,48802.0,16.0,,,4823,NEDENES
2040007,232775481,4203,ARENDAL,430,105,0,0,1,BEST. GRUNNEIENDOM,682.7,SOLBAKKEN,233102877,Røedstien,48802.0,24.0,,,4823,NEDENES
2040008,232775479,4203,ARENDAL,430,103,0,0,1,BEST. GRUNNEIENDOM,1973.1,SKOGLY II,443677106,Vesterveien,55233.0,655.0,,,4823,NEDENES
2040009,232775477,4203,ARENDAL,430,101,0,0,1,BEST. GRUNNEIENDOM,2666.8,BOMSHOLMEN,233109636,Bomsholmen,48837.0,13.0,,,4823,NEDENES
2040010,232775476,4203,ARENDAL,430,100,0,0,1,BEST. GRUNNEIENDOM,1798.9,SOLSTAD,233102867,Røedstien,48802.0,9.0,,,4823,NEDENES
2040011,232775474,4203,ARENDAL,430,98,0,0,1,BEST. GRUNNEIENDOM,627.3,ELVEBLIKK,441581960,Røed,48865.0,76.0,,,4823,NEDENES
2040012,232775472,4203,ARENDAL,430,96,0,0,1,BEST. GRUNNEIENDOM,3426.1,RØED,233109627,Bomsholmen,48837.0,1.0,,,4823,NEDENES
2040013,232775471,4203,ARENDAL,430,95,0,0,1,BEST. GRUNNEIENDOM,1051.8,DAMMEN,233104495,Munkestø,48813.0,19.0,,,4823,NEDENES
2040014,232775470,4203,ARENDAL,430,94,0,0,1,BEST. GRUNNEIENDOM,1660.4,ELVEBAKKEN,233104496,Munkestø,48813.0,21.0,,,4823,NEDENES
2040015,232775469,4203,ARENDAL,430,93,0,0,1,BEST. GRUNNEIENDOM,2543.0,SKOGLY,441555587,Røed,48865.0,17.0,,,4823,NEDENES
2040016,232775468,4203,ARENDAL,430,92,0,0,1,BEST. GRUNNEIENDOM,1084.3,HAUGEN,233102876,Røedstien,48802.0,23.0,,,4823,NEDENES
2040017,232775466,4203,ARENDAL,430,90,0,0,1,BEST. GRUNNEIENDOM,407.2,BOMSHOLMEN,233109631,Bomsholmen,48837.0,5.0,,,4823,NEDENES
2040018,232775465,4203,ARENDAL,430,89,0,0,1,BEST. GRUNNEIENDOM,1514.4,SOLVANG,233104505,Munkestø,48813.0,4.0,,,4823,NEDENES
2040019,232775462,4203,ARENDAL,430,86,0,0,1,BEST. GRUNNEIENDOM,1385.2,HESTHAG,233104506,Munkestø,48813.0,7.0,,,4823,NEDENES
2040020,232775461,4203,ARENDAL,430,85,0,0,1,BEST. GRUNNEIENDOM,6932.0,SOLVANG,391042515,Bomsholmen,48837.0,2.0,C,,4823,NEDENES
2040021,232775460,4203,ARENDAL,430,84,0,0,1,BEST. GRUNNEIENDOM,1508.9,VESTA,443679179,Vesterveien,55233.0,672.0,,,4823,NEDENES
2040022,232775458,4203,ARENDAL,430,82,0,0,1,BEST. GRUNNEIENDOM,16845.8,MARIVOLD,443673682,Vesterveien,55233.0,628.0,,,4823,NEDENES
2040023,232775456,4203,ARENDAL,430,80,0,0,1,BEST. GRUNNEIENDOM,708.7,KNATTEN,443680401,Vesterveien,55233.0,665.0,,,4823,NEDENES
2040024,232775389,4203,ARENDAL,430,11,0,0,1,BEST. GRUNNEIENDOM,1488.4,MUNKESTØ,233104493,Munkestø,48813.0,23.0,,,4823,NEDENES
2040025,232775386,4203,ARENDAL,430,8,0,0,1,BEST. GRUNNEIENDOM,3130.6,RØD,233104500,Munkestø,48813.0,12.0,,,4823,NEDENES
2040026,232775384,4203,ARENDAL,430,6,0,0,1,BEST. GRUNNEIENDOM,1328.4,RØD,233104501,Munkestø,48813.0,25.0,,,4823,NEDENES
2040027,232775381,4203,ARENDAL,430,3,0,0,1,BEST. GRUNNEIENDOM,2345.4,RØD,233104509,Munkestø,48813.0,8.0,,,4823,NEDENES
2040028,232775366,4203,ARENDAL,429,239,0,0,1,BEST. GRUNNEIENDOM,728.5,SOLFJELL I,441535720,Røed,48865.0,6.0,,,4823,NEDENES
2040029,232775363,4203,ARENDAL,429,236,0,0,1,BEST. GRUNNEIENDOM,522.8,"ELVEVEIEN 21,TILLEGG",233105775,Elveveien,42750.0,59.0,,,4823,NEDENES
2040030,232775422,4203,ARENDAL,430,46,0,0,1,BEST. GRUNNEIENDOM,603.7,BOMSHOLMEN,233084494,,,,,0.0,4823,NEDENES
2040031,232775421,4203,ARENDAL,430,45,0,0,1,BEST. GRUNNEIENDOM,1069.2,ELVARHEIM,233109630,Bomsholmen,48837.0,4.0,,,4823,NEDENES
2040032,232775416,4203,ARENDAL,430,39,0,0,1,BEST. GRUNNEIENDOM,526.2,MUNKESTØ,233104498,Munkestø,48813.0,24.0,,,4823,NEDENES
2040033,232775415,4203,ARENDAL,430,38,0,0,1,BEST. GRUNNEIENDOM,2863.7,STIEN,233109629,Bomsholmen,48837.0,3.0,A,,4823,NEDENES
2040034,232775414,4203,ARENDAL,430,37,0,0,1,BEST. GRUNNEIENDOM,5450.2,Rød,233104499,Munkestø,48813.0,18.0,,,4823,NEDENES
2040035,232775414,4203,ARENDAL,430,37,0,0,1,BEST. GRUNNEIENDOM,5450.2,Rød,465087064,Munkestø,48813.0,22.0,,,4823,NEDENES
2040036,232775414,4203,ARENDAL,430,37,0,0,1,BEST. GRUNNEIENDOM,5450.2,Rød,465087065,Munkestø,48813.0,20.0,,,4823,NEDENES
2040037,232775413,4203,ARENDAL,430,36,0,0,1,BEST. GRUNNEIENDOM,3057.4,MUNKESTØEN,233102870,Røedstien,48802.0,14.0,,,4823,NEDENES
2040038,232775410,4203,ARENDAL,430,33,0,0,1,BEST. GRUNNEIENDOM,26685.6,RØD,441560594,Røed,48865.0,11.0,,,4823,NEDENES
2040039,232775409,4203,ARENDAL,430,32,0,0,1,BEST. GRUNNEIENDOM,14538.4,RØD,441555586,Røed,48865.0,62.0,,,4823,NEDENES
2040040,232775408,4203,ARENDAL,430,31,0,0,1,BEST. GRUNNEIENDOM,16092.5,RØD,441555585,Røed,48865.0,58.0,,,4823,NEDENES
2040041,232775407,4203,ARENDAL,430,29,0,0,1,BEST. GRUNNEIENDOM,1759.6,RØD,441555582,Røed,48865.0,46.0,,,4823,NEDENES
2040042,232775406,4203,ARENDAL,430,28,0,0,1,BEST. GRUNNEIENDOM,8733.1,RØD,441555579,Røed,48865.0,34.0,,,4823,NEDENES
2040043,232775405,4203,ARENDAL,430,25,0,0,1,BEST. GRUNNEIENDOM,11239.6,RØD,441555584,Røed,48865.0,54.0,,,4823,NEDENES
2040044,232775401,4203,ARENDAL,430,21,0,0,1,BEST. GRUNNEIENDOM,9303.9,RØD,233104508,Munkestø,48813.0,13.0,A,,4823,NEDENES
2040045,232775401,4203,ARENDAL,430,21,0,0,1,BEST. GRUNNEIENDOM,9303.9,RØD,6361821571,Munkestø,48813.0,13.0,B,,4823,NEDENES
2040046,232775400,4203,ARENDAL,430,20,0,0,1,BEST. GRUNNEIENDOM,2008.2,RØD,233103550,Røedstien,48802.0,13.0,,,4823,NEDENES
2040047,232775399,4203,ARENDAL,430,19,0,0,1,BEST. GRUNNEIENDOM,6787.6,ELVERLY,441583810,Røed,48865.0,100.0,,,4823,NEDENES
2040048,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441583809,Røed,48865.0,94.0,,,4823,NEDENES
2040049,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581968,Røed,48865.0,92.0,,,4823,NEDENES
2040050,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581959,Røed,48865.0,72.0,,,4823,NEDENES
2040051,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581962,Røed,48865.0,80.0,,,4823,NEDENES
2040052,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581963,Røed,48865.0,82.0,,,4823,NEDENES
2040053,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581961,Røed,48865.0,78.0,,,4823,NEDENES
2040054,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581966,Røed,48865.0,88.0,,,4823,NEDENES
2040055,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581967,Røed,48865.0,90.0,,,4823,NEDENES
2040056,232775394,4203,ARENDAL,430,17,0,0,1,BEST. GRUNNEIENDOM,67319.6,RØD,441581964,Røed,48865.0,84.0,,,4823,NEDENES
