,EIENDOM_ID,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,AREAL,BRUKSNAVN,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
1900000,217053867,3052,NORE OG UVDAL,116,1,0,0,1,BEST. GRUNNEIENDOM,1325538.5,AASEN,217097490,Øvrevegen,1055.0,602.0,,,3544,TUNHOVD
1900001,217053867,3052,NORE OG UVDAL,116,1,0,0,1,BEST. GRUNNEIENDOM,1325538.5,AASEN,471778429,Rødungsvegen,1056.0,610.0,,,3544,TUNHOVD
1900002,217053867,3052,NORE OG UVDAL,116,1,0,0,1,BEST. GRUNNEIENDOM,1325538.5,AASEN,580114984,Øvrevegen,1055.0,607.0,,,3544,TUNHOVD
1900003,217053865,3052,NORE OG UVDAL,115,8,0,0,1,BEST. GRUNNEIENDOM,300.1,KJELLAUGBU,217099388,Tunhovdvegen,1068.0,3775.0,,,3580,GEILO
1900004,217053864,3052,NORE OG UVDAL,115,7,0,0,1,BEST. GRUNNEIENDOM,99.9,BORGHILDTHUN,217096446,Tunhovdvegen,1068.0,3651.0,,,3580,GEILO
1900005,217053862,3052,NORE OG UVDAL,115,6,7,0,2,BESTÅENDE FESTEGRUNN,100.0,TOMT NR 1,217106422,Grefsgardvegen,1126.0,54.0,,,3580,GEILO
1900006,217053887,3052,NORE OG UVDAL,118,12,0,0,1,BEST. GRUNNEIENDOM,21944.2,NYSET NR 2,217104420,Rødungsvegen,1056.0,475.0,,,3544,TUNHOVD
1900007,217053886,3052,NORE OG UVDAL,118,11,0,0,1,BEST. GRUNNEIENDOM,200.1,STORESTØLHYTTA,217101047,Rødungsvegen,1056.0,462.0,,,3544,TUNHOVD
1900008,217053885,3052,NORE OG UVDAL,118,10,0,0,1,BEST. GRUNNEIENDOM,2374.8,KNAUSEN,217099498,Øvrevegen,1055.0,234.0,,,3544,TUNHOVD
1900009,217053884,3052,NORE OG UVDAL,118,9,0,0,1,BEST. GRUNNEIENDOM,99.9,TRONSEBU,217099482,Øvrevegen,1055.0,223.0,,,3544,TUNHOVD
1900010,217053883,3052,NORE OG UVDAL,118,8,0,0,1,BEST. GRUNNEIENDOM,200.5,LIHAUG,217099496,Øvrevegen,1055.0,219.0,,,3544,TUNHOVD
