,EIENDOM_ID,KOMMUNE_NR,KOMMUNE_NAVN,GNR,BNR,FNR,SNR,EIENDOMSTYPE_KODE,EIENDOMSTYPE_NAVN,AREAL,BRUKSNAVN,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
750000,84105854,4213,TVEDESTRAND,29,11,0,0,1,BEST. GRUNNEIENDOM,26995.8,STRANDHAVEN/BEKKEVIKSTYKKET,510437699,Høyheia terrasse,1436.0,2.0,,,4900,TVEDESTRAND
750001,84105858,4213,TVEDESTRAND,29,15,0,0,1,BEST. GRUNNEIENDOM,3728.1,SKOGLY AV STRANDHAGEN,84179353,Vestervei,1005.0,46.0,,,4900,TVEDESTRAND
750002,84105858,4213,TVEDESTRAND,29,15,0,0,1,BEST. GRUNNEIENDOM,3728.1,SKOGLY AV STRANDHAGEN,324654984,Vestervei,1005.0,48.0,,,4900,TVEDESTRAND
750003,84105857,4213,TVEDESTRAND,29,14,0,0,1,BEST. GRUNNEIENDOM,5031.0,BYVOLDEN,84179687,Mjåvannsveien,1008.0,12.0,,,4900,TVEDESTRAND
750004,84105856,4213,TVEDESTRAND,29,13,0,0,1,BEST. GRUNNEIENDOM,11328.3,SOLLI,367566115,Fianhagen,1206.0,29.0,,,4905,TVEDESTRAND
750005,84105856,4213,TVEDESTRAND,29,13,0,0,1,BEST. GRUNNEIENDOM,11328.3,SOLLI,6402200851,Fianhagen,1206.0,29.0,B,,4905,TVEDESTRAND
750006,84105863,4213,TVEDESTRAND,29,20,0,0,1,BEST. GRUNNEIENDOM,1551.8,LØVLI AV STRANDHAGEN,84179354,Skibheiveien,1055.0,17.0,,,4900,TVEDESTRAND
750007,84105862,4213,TVEDESTRAND,29,19,0,0,1,BEST. GRUNNEIENDOM,1909.9,BIRKELUNDEN I,428753368,Bakkevei,1058.0,35.0,,,4900,TVEDESTRAND
750008,84105861,4213,TVEDESTRAND,29,18,0,0,1,BEST. GRUNNEIENDOM,2312.7,BIRKENLUNDEN II AV STRANDHAGEN,84180744,Bakkevei,1058.0,39.0,,,4900,TVEDESTRAND
750009,84105867,4213,TVEDESTRAND,29,23,0,0,1,BEST. GRUNNEIENDOM,931.8,FURUHØY,84180725,Bakkevei,1058.0,13.0,,,4900,TVEDESTRAND
750010,84105866,4213,TVEDESTRAND,29,22,0,0,1,BEST. GRUNNEIENDOM,1517.6,FURULUND AV STRANDHAGEN,84180723,Bakkevei,1058.0,11.0,,,4900,TVEDESTRAND
750011,84105864,4213,TVEDESTRAND,29,21,0,0,1,BEST. GRUNNEIENDOM,2591.4,NYBO I HOLT,84179349,Vestervei,1005.0,41.0,,,4900,TVEDESTRAND
750012,84105868,4213,TVEDESTRAND,29,24,0,0,1,BEST. GRUNNEIENDOM,659.1,KNATTEN I HOLT,84180724,Bakkevei,1058.0,12.0,,,4900,TVEDESTRAND
750013,84105875,4213,TVEDESTRAND,29,31,0,0,1,BEST. GRUNNEIENDOM,790.2,BAKKEBU I HOLT,84180727,Bakkevei,1058.0,16.0,,,4900,TVEDESTRAND
750014,84105873,4213,TVEDESTRAND,29,29,0,0,1,BEST. GRUNNEIENDOM,893.0,SOLGLØTT I HOLT,84179352,Vestervei,1005.0,45.0,,,4900,TVEDESTRAND
750015,84105879,4213,TVEDESTRAND,29,35,0,0,1,BEST. GRUNNEIENDOM,630.0,UTSIKTEN AV BEKKEVIKSTYKKET,84180743,Bakkevei,1058.0,38.0,,,4900,TVEDESTRAND
750016,84105879,4213,TVEDESTRAND,29,35,0,0,1,BEST. GRUNNEIENDOM,630.0,UTSIKTEN AV BEKKEVIKSTYKKET,486059446,Bakkevei,1058.0,38.0,A,,4900,TVEDESTRAND
750017,84105878,4213,TVEDESTRAND,29,34,0,0,1,BEST. GRUNNEIENDOM,911.0,SOLLI AV BEKKEVIKSTYKKET,84180734,Bakkevei,1058.0,24.0,,,4900,TVEDESTRAND
750018,84105877,4213,TVEDESTRAND,29,33,0,0,1,BEST. GRUNNEIENDOM,2622.6,,84180729,Bakkevei,1058.0,18.0,,,4900,TVEDESTRAND
750019,84105876,4213,TVEDESTRAND,29,32,0,0,1,BEST. GRUNNEIENDOM,798.0,SOLHØY AV STRANDHAGEN,84180657,Høyheiveien,1053.0,12.0,,,4900,TVEDESTRAND
750020,84105883,4213,TVEDESTRAND,29,39,0,0,1,BEST. GRUNNEIENDOM,1130.4,FJELLTUN AV STRANDHAGEN,84180728,Bakkevei,1058.0,17.0,,,4900,TVEDESTRAND
750021,84105881,4213,TVEDESTRAND,29,37,0,0,1,BEST. GRUNNEIENDOM,725.3,KNATTEN II AV STRANDHAGEN,84180658,Høyheiveien,1053.0,14.0,,,4900,TVEDESTRAND
750022,84105880,4213,TVEDESTRAND,29,36,0,0,1,BEST. GRUNNEIENDOM,486.2,BYVOLD 2 AV BYVOLD,84179686,Mjåvannsveien,1008.0,10.0,,,4900,TVEDESTRAND
750023,84105886,4213,TVEDESTRAND,29,42,0,0,1,BEST. GRUNNEIENDOM,329.8,FJELLTUN 2 AV FJELLTUN,84180730,Bakkevei,1058.0,19.0,,,4900,TVEDESTRAND
750024,84105884,4213,TVEDESTRAND,29,40,0,0,1,BEST. GRUNNEIENDOM,678.6,FJELLTUN II AV STRANDHAGEN,84180659,Høyheiveien,1053.0,18.0,,,4900,TVEDESTRAND
750025,84105891,4213,TVEDESTRAND,29,47,0,0,1,BEST. GRUNNEIENDOM,1530.7,EIKKRONA AV STRANDHAGEN,84179690,Mjåvannsveien,1008.0,32.0,,,4900,TVEDESTRAND
750026,84105889,4213,TVEDESTRAND,29,45,0,0,1,BEST. GRUNNEIENDOM,1364.1,BJØRKELI AV STRANDHAGEN,84179689,Mjåvannsveien,1008.0,24.0,,,4900,TVEDESTRAND
750027,84103847,4213,TVEDESTRAND,9,68,0,0,1,BEST. GRUNNEIENDOM,3018.1,HESTBAKKJÆRET,405873185,Harbones - Holmen,1319.0,41.0,,,4905,TVEDESTRAND
750028,84105895,4213,TVEDESTRAND,29,51,0,0,1,BEST. GRUNNEIENDOM,640.3,HØGTUN AV BAKKEHØY,84180660,Høyheiveien,1053.0,20.0,,,4900,TVEDESTRAND
750029,84103846,4213,TVEDESTRAND,9,67,0,0,1,BEST. GRUNNEIENDOM,1710.0,FRIDHEIM,406188033,Harbones - Holmen,1319.0,94.0,,,4905,TVEDESTRAND
750030,84105893,4213,TVEDESTRAND,29,49,0,0,1,BEST. GRUNNEIENDOM,827.7,HEGLI AV STRANDHAGEN,84180676,Skibheiveien,1055.0,7.0,,,4900,TVEDESTRAND
750031,84105892,4213,TVEDESTRAND,29,48,0,0,1,BEST. GRUNNEIENDOM,1075.1,BARLEINSBO AV STRANDHAGEN,84180673,Skibheiveien,1055.0,4.0,,,4900,TVEDESTRAND
750032,84103851,4213,TVEDESTRAND,9,72,0,0,1,BEST. GRUNNEIENDOM,965.7,OLYMPEN,406189720,Harbones - Holmen,1319.0,100.0,,,4905,TVEDESTRAND
750033,84105898,4213,TVEDESTRAND,29,54,0,0,1,BEST. GRUNNEIENDOM,974.8,BAKKETUN AV BAKKEHØY,84180663,Høyheiveien,1053.0,26.0,,,4900,TVEDESTRAND
750034,84105897,4213,TVEDESTRAND,29,53,0,0,1,BEST. GRUNNEIENDOM,845.6,HAUSE AV BAKKEHØY,84180662,Høyheiveien,1053.0,24.0,,,4900,TVEDESTRAND
750035,84103848,4213,TVEDESTRAND,9,69,0,0,1,BEST. GRUNNEIENDOM,1169.8,SVÅA,407813316,Knutsvikveien,1258.0,62.0,,,4905,TVEDESTRAND
750036,84105896,4213,TVEDESTRAND,29,52,0,0,1,BEST. GRUNNEIENDOM,807.9,KNOLLEN AV BAKKEHØY,84180661,Høyheiveien,1053.0,22.0,,,4900,TVEDESTRAND
750037,84103855,4213,TVEDESTRAND,9,76,0,0,1,BEST. GRUNNEIENDOM,2601.4,NERHEIM,405873187,Harbones - Holmen,1319.0,42.0,,,4905,TVEDESTRAND
750038,84105902,4213,TVEDESTRAND,29,58,0,0,1,BEST. GRUNNEIENDOM,816.9,BAKKEHØY AV STRANDHAGEN,84180675,Skibheiveien,1055.0,6.0,,,4900,TVEDESTRAND
750039,84105901,4213,TVEDESTRAND,29,57,0,0,1,BEST. GRUNNEIENDOM,988.2,FINNEBO AV STRANDHAVEN,84180738,Bakkevei,1058.0,29.0,,,4900,TVEDESTRAND
